"mz_rt_min","A_01","A_02","A_03","A_04","A_05","A_06","A_07","A_08","A_09","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","B_36","B_37","B_38","B_39","B_40","B_41","B_42","B_43","B_44","B_45","B_46","B_47","B_48","B_49","B_50","B_51","B_52","B_53","B_54","B_55","B_56","B_57","B_58"
"57.03312_1.163",18.8307404025366,18.8852750374716,19.8618398212615,20.9933968393413,20.8647750405674,20.2057565227652,20.1808444596322,20.53054085761,20.3371726755605,21.222861439698,20.3507634225436,20.9320594294753,21.1552515802179,20.7721897084772,21.3276885369076,20.7274166072352,19.9845296870654,21.424447797055,21.3697891470028,19.3862015111933,21.1091824621073,20.7690068630805,21.3551605873098,19.9241189640703,19.5809856596647,20.0885786262881,21.3355396020633,21.6033295258151,21.5698095405932,20.9432569455711,22.6881744991428,21.6112151441561,22.5486214462151,19.3605738938238,21.0616066689119,21.3392001602835,21.5393541724374,21.3280433548147,22.0487615076237,21.595645091046,22.7823984224225,21.0994315918277,19.4553069988541,19.1261585288535,20.9718628207384,20.981082865887,23.1679935992181,20.4377315871086,19.7659693014459,20.751054123488,21.3287514468205,21.479936862922,20.0951870753517,20.6838074178572,20.8818661321132,21.3690576606518,20.5865968242796,20.921711564519
"57.97429_1.841",21.4489447905582,20.9090492764889,20.2747178782129,20.4731212644129,24.3417272277792,21.2622312046359,20.7947196286055,20.5988719391222,22.4153400191555,23.5060530233859,21.9190958666642,21.6400985556394,21.6857738321304,20.2621688735525,24.5459237797872,20.7943405967274,20.1746891846821,22.2268690224851,22.51677803844,21.8357830030563,24.4718977398456,20.7128611674929,20.3303696072322,24.2262570076951,21.5630976872056,20.6046952585397,19.4277006464502,24.3902954220642,25.3740819886134,23.5446482666273,28.1788869718871,26.71613756134,26.9807277127702,22.9976776542246,24.63411039377,23.6528194989862,22.5011330671676,23.1747564152049,22.1012220041532,19.1176890941049,21.2912720054522,21.508313032536,20.8928378912742,19.2957932918991,20.9452294506394,20.8052587554149,20.5039774970899,21.6314671849122,21.9933351499244,21.6581997832326,22.9195086122391,21.4816285438161,25.8889170177745,20.242934093735,20.2660246170272,19.8011431547821,20.3307714994508,20.1841400898938
"59.01236_0.882",21.235810489533,21.5644944951886,21.640856651463,19.1935127579786,19.677386466249,20.4624100869352,19.9424557861817,21.5048537613537,19.8886505964128,20.9730924385567,20.0755361228707,21.7221641590997,20.0663688929823,19.5245319352886,21.0548886871451,21.4443401508474,20.3570780602647,19.6491971165036,20.1040061939589,19.80559787436,21.1894240693772,19.7470965339655,19.8911283072738,21.4952592092357,21.788691940644,18.7586915648573,19.7497307874449,20.3810983720088,22.1306320427837,21.3468287715457,21.9549993773993,19.8947896867894,21.6355614331742,19.9093949221696,20.8705773147507,21.4144955034646,21.3215876870206,20.735332360978,19.8874552065702,20.5648836739599,22.2474496996133,20.6261789506175,21.6931689270111,20.6566244742705,19.6343720374097,21.4671599628823,19.937237474925,20.7032992591324,20.9324514974325,22.1620927580276,21.6747946407264,20.7234123204477,19.1354649457794,20.0715924101505,19.5490120892119,19.5203680745556,19.6752457562141,19.0610213725086
"59.01242_1.164",25.2585823523877,26.6443289842056,25.9507965528642,25.0065683544401,25.1207216883215,27.1246807951114,25.3897203537227,27.0127444541447,26.0695359591449,26.8603855642669,26.4753278756566,26.832737659901,24.9805377130413,25.8607409312567,26.9727125329235,27.4887729007756,26.2914968604104,26.7962653360467,24.8964158571775,24.6792134889827,26.988725183601,26.7648510169496,26.6584305197894,26.3299168630501,26.7669445563552,26.1253116984208,26.1160617716134,26.7874440757182,26.76686444408,27.2292080874581,27.8843302713573,26.3531296501891,27.6752183726586,26.311948532904,26.6958411332865,26.1506150801744,27.2623039117527,27.1482559205988,26.4841481571024,26.3215640838575,26.8001262224252,27.0021229411611,26.8928619364927,26.8817458667011,25.7832976401065,27.3605003063758,24.9749524312128,27.3100006991144,27.6672401444777,27.8795427614785,26.0175158196408,26.6899582159081,25.679308015923,25.8124213713063,25.9480496259712,26.0848294446135,26.2348143403739,26.1214262859856
"60.99163_0.266",24.6337355872599,17.7958438300236,24.4395602335408,24.3461947031467,26.0323877912413,23.5686912545536,25.9448924680552,26.8954984813043,26.1709516048703,26.4430177878346,26.9648906771488,24.9609937551942,26.0222314700644,18.4886906784312,26.1416784165017,26.3114465086735,27.121422550875,27.5561271785527,25.996049082911,25.8865272292288,25.947814318818,26.5486026534302,19.1519656932157,25.7481795121663,26.6216174375113,25.8131403896057,26.5962156079355,18.9436377893821,26.35846154383,26.6633640264109,28.853253990685,25.7313060802162,27.818298674412,26.0641326709868,26.8710612325778,19.6760544026618,18.9028473333066,26.9024243232228,18.6394052298534,26.8446449381269,26.5763206160781,18.4840293646853,27.5194369922305,18.8814439741161,18.463110947429,18.4651386258011,18.3627501142282,18.4311081935268,27.6243805873011,26.7224834524364,18.3182837293992,27.2395942362103,18.293412790553,18.3067227759365,25.5084770273486,17.6234912507454,27.0257692384972,25.3915760398493
"68.01277_0.32",16.3143400221257,14.4454172124499,16.0636154441515,15.0292946259425,17.2292724476156,15.4306346475514,17.6004095821708,17.7637128600016,15.7857239388284,15.6056292322167,17.2524664172246,17.0201610748891,16.3676152109222,15.1521464030351,17.5264733073053,17.041423059053,17.5453718664851,17.5543994779772,16.8722320548601,16.9800715285817,15.8470142693722,17.8806527171607,15.1495279221567,15.339490187618,17.2042428011917,16.2838147956606,16.8583405935417,15.5932111713942,18.5057823707748,17.1949940213593,18.9938099481403,16.674427295467,17.2047515466776,16.7933806821942,15.9248796667556,16.1849081569218,15.5524207158884,17.458237701782,15.2889786122216,16.2527457329121,15.8436838143389,15.890946428732,18.1184038109072,16.0417889960386,14.9096025612566,15.1147120086646,15.012323496947,15.3600211972509,17.1442974921665,16.4104941088171,14.9678571118462,17.0562445344472,15.7453192356535,15.2993512834634,16.2812675217747,14.2730646335299,16.9643859446187,14.827843399337
"70.99718_0.801",20.2942883636725,20.6205945654494,20.4142457444547,19.3575148769123,19.5123940111408,20.766469405832,19.8709130587318,21.4642189115658,19.212630349857,20.6655744373678,19.484372899832,21.446749081134,20.0193981293434,19.8957475354318,21.3119757228364,21.1145879065753,19.5785608012699,19.6780654088511,19.3553842685493,19.0331999411878,21.2211066214829,21.1433159608498,19.908776801194,20.3144501412752,20.6542342861383,19.3496968354944,19.8422363639396,19.6940039874989,19.0095439662055,20.5737208248732,20.449470184541,19.3188370227322,21.2900660786344,19.2472200054673,20.6428766875064,20.7296436809188,21.0129172814661,20.6747975611463,20.0304074467729,19.131179350894,21.1371631530338,21.192846236322,21.5313472232346,20.9093263537256,19.5781437322163,21.0793701243586,20.8330034542407,20.3900664687065,20.8674770556432,21.2848769732019,19.4919161417782,20.9476945822081,19.375456327891,18.9574148470257,20.154577659237,20.268616976465,19.8518465361498,19.816561339676
"71.01242_1.132",24.9738498661177,25.2301463956569,24.7793868464236,25.3178756535047,25.6790995118239,26.0763017097566,25.5889080598044,25.8562354365622,26.038954509258,25.4706500991644,25.778180461317,25.247503635724,26.3344515931784,25.9882176687501,26.6389623373563,26.3129349460083,26.3047627251125,26.1171505514834,26.1834418659673,25.1707794800971,25.8241629429642,25.783655940308,26.6274363424318,24.809815006959,25.1817024169947,24.9609583241769,26.1057410199272,26.7677586762263,26.6455652521692,27.8930061738487,27.3536855610525,26.3003034664593,26.5263712528393,26.3337099481195,25.7897719976316,26.3370074980631,26.7975122700933,26.8249748622111,26.4868688516655,26.3586276139181,27.0147083994529,26.7048334144572,25.6031802557071,26.5649521689467,25.8776829240057,26.103689633696,25.3745117827517,27.0008232117322,27.2383721619411,27.1286351547658,26.2102156611681,26.337948346873,25.9098990440866,26.0417147418977,26.1971564278267,25.260423053417,25.5880786027811,25.4897652672768
"71.01244_2.155",23.5841033613074,23.6656336851667,23.3808493720534,23.2794006942508,22.5874378817638,23.8395144609927,23.2154066252729,24.3739775299825,23.0297779475221,24.0995338137292,23.7401373460038,23.744297773509,23.6076309434927,22.783641705468,24.5976484481206,24.8480141272108,22.9689067460716,23.379454940009,23.5653292772918,22.6985836700226,23.6717286358457,23.8596613759632,22.2666866866833,23.8991751693257,23.9653367550051,23.4000818938287,22.2398183966291,22.2817867735743,23.0593044451894,24.1432656676179,24.3983897430965,22.5176799714284,23.2888394542788,22.5541677712828,22.7802300535,23.1388872509122,23.7462412985578,23.6171933574724,22.5288695251876,23.0018187405568,23.4682887763965,23.1267318455014,23.4363931552616,24.0274126340141,22.1054424817864,23.8951443163479,22.9579716916409,23.0317895061776,23.7347062434166,24.3041547935651,22.5929741182726,22.9753280711,23.4187724403568,23.6695583468223,22.3554072657301,23.3669281707429,23.0287848292501,23.5530083741525
"72.00765_1.063",22.1207945887044,22.7228322531935,22.5440004442901,22.6334272180252,22.6675143167191,22.9038401514568,22.69350500394,23.1384951785026,22.6717336808987,22.7029691359636,23.3243761946897,22.2356679190279,23.0010510910741,22.7193762690517,23.2325398852726,23.7602058759898,23.2233220967666,22.987785020955,22.749728257105,21.9527415444197,22.5421145419742,22.722559870866,22.7198491967209,22.2250402202575,22.7715183176558,22.6610903482711,22.3300862444975,23.0433722435896,23.0365315072807,23.1561709390764,24.3480287088756,22.7518388910634,23.1806769491228,22.951831947643,22.74465554497,23.2452888891349,23.4160690688601,23.6796057179955,22.99108047239,23.1045999245234,22.26853783221,23.1249258563456,23.2738298791347,23.3166706754759,22.601679191817,22.7494099285641,21.0884615965876,23.5832535231265,23.3120372951548,23.3998665243249,22.710661788328,23.2087138836315,22.3894998563012,23.1498957521154,23.1137594999685,22.6691786448679,22.5359136458986,22.9105787493561
