"mz_rt_min","A_01","A_02","A_03","A_04","A_05","A_06","A_07","A_08","A_09","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","B_36","B_37","B_38","B_39","B_40","B_41","B_42","B_43","B_44","B_45","B_46","B_47","B_48","B_49","B_50","B_51","B_52","B_53","B_54","B_55","B_56","B_57","B_58"
"55.01853_1.193",24.0705951494163,23.5220515391712,21.9653932049672,21.4367945782104,21.7010108330145,21.696601289029,21.5107604585474,21.9095370560396,21.2698334931162,23.4519725136297,21.7679979786808,21.764787687641,21.6187928347288,21.5540950795915,21.9089592828981,22.1244134041261,21.7792973398378,21.5952985085653,21.4724424557266,21.2731276652342,22.0337147617913,21.5410453584761,21.5775834031057,24.1906887627992,21.4997237458254,21.4269336835453,21.3686198922065,21.6783841071236,21.5539036271585,21.8248972875529,22.6750442740874,22.9993713918788,21.4766718499935,21.6870770259534,22.2113016332647,22.308613054029,21.7027478697714,21.9080943875436,22.4930875319746,21.5054433351845,21.4218631991911,22.8283105036043,21.6170383462854,21.9840714835713,21.2477187980504,21.7446268848161,22.043072741924,21.9298137285781,22.0158471267014,21.7054043955706,21.4406996289259,21.8003674229464,22.2683156025258,21.6240884697634,21.3449408782621,21.4436097480096,21.3862020003263,21.4490423970421
"55.0551_1.003",25.4930021959974,23.8158520266111,25.2608603997616,21.4419130866519,21.6983747451163,23.0712952536902,21.2850478668798,24.2294695433241,22.1137434869268,24.2857927640023,21.5447072420848,25.6561824643217,22.1129774499834,21.401158165069,25.3154868011004,25.6426963251688,22.6205391591652,22.5549439559876,21.9833273760483,21.6071247300237,25.106808680762,25.9121995151603,22.4736787216548,25.37008107716,25.452650489859,21.2780699016456,22.3281176341029,22.7519522859285,22.6867368988569,24.8928590515691,25.6889117123163,22.4610960480159,24.5242637492461,22.5545199793414,23.3702260002433,25.0201363594414,25.0255664244057,22.7603334913724,22.6355618630668,22.415535822232,25.1257866043793,24.6522286173041,24.6661374743009,24.7292517800577,22.4318947238566,24.7377031878802,22.2184441898636,24.8387711481902,23.6834486458211,25.4536054368207,22.3876459526299,25.2738581210891,21.2101976971661,21.90087644179,22.1708256321547,21.2170878485743,21.948814360839,21.344721744575
"57.05806_1.189",20.008704850005,20.693837117343,21.8834770030152,21.6145154019721,20.6638259926667,21.4423578420275,21.0556918778473,21.9363918368983,21.0808745983781,21.2490499680227,21.8671787670175,21.3149060846453,20.7092953859606,21.085865990181,21.6136765421129,21.3362327006448,21.7838816160291,20.9192822194888,21.1196804873695,21.3219598606503,20.8278567286335,20.4874638803507,20.9915144854782,20.692942630374,20.1096966029029,22.2234699507443,21.0256968971145,21.6134646408245,21.421907163404,21.0399919955703,21.3034300219366,21.2253857233711,21.0224866511989,21.7299510455879,21.9619001271791,21.8466469617292,20.8267547392528,21.6937801144423,20.996251944443,21.1363516249912,20.2620848318375,20.9393088441995,21.286897109273,21.2002319719727,20.8549573636675,20.9869796564114,21.5125845443073,20.5343322339797,21.1601753013909,21.444626841374,20.6085132871684,21.6740444651243,20.6085732871568,20.8650652188735,21.5145710475304,21.1350341548904,21.2698866527088,21.87429950546
"58.066_0.799",20.4608493126748,22.7653322350678,19.9227978599053,19.6557085635448,19.0800089947018,21.0804025037039,19.3468647521689,20.6589426773113,19.6113015412818,19.5005245102476,19.1010630358512,17.7130210818569,20.4512024291082,19.7301535805917,20.0105990225332,22.6598356210396,19.3417627326908,19.3420426492035,18.6068233625229,18.6888286483635,19.9181481716646,19.7458007314287,19.1169466647371,20.4944383036684,21.0535660455323,20.7337340747045,18.9696909420832,18.6294571596316,19.0473695857134,19.3696723333237,21.5127416988266,19.5824527614358,19.8031180484288,18.8225396678952,19.1566853858615,19.2324424026356,23.1276768104699,20.2572913044493,19.4275555918702,20.6970543964609,20.2585293945026,20.3632787956544,19.8435844858708,19.7958403052353,18.6689412280074,19.9915079353486,19.5890479254493,20.3010567128123,19.4925273829071,20.3088510730555,18.745766196603,19.9089703755186,21.1984024992292,20.7874898191882,19.4257108355729,18.4876067944286,18.6545804048689,18.8663782884427
"58.06601_1.092",27.1988092476472,25.2829619526994,25.8672282575269,23.7410096093874,24.5904205313157,24.8870851064338,24.3142256342485,26.6644090183838,23.6455761160493,25.4036934531165,25.2502756056413,27.9657246851098,24.1600864562261,24.1593104511479,27.5563786561442,22.6598356210396,24.3965680612081,24.2145251557192,22.2841444322753,23.4941396526611,27.0476941211809,26.4054778253947,23.6469576428896,26.0937765837687,25.828602316345,24.7187726142587,23.8489271309202,24.2363512842339,24.7671102701117,25.3368057909915,26.6125049044795,24.1538272431165,25.6270303342998,24.8672973996917,26.3899082945476,27.3266969032194,23.1276768104699,26.2138076743577,24.9253241680743,25.3205679923931,25.6727402852131,23.2412104751262,26.3349232609462,26.9478545225544,25.2912049993949,25.0581703546537,26.2680468807608,25.7304456122563,26.2080991764622,24.9650378747652,25.364984829749,26.5063821285386,25.6750332315573,26.391731525304,25.217092307979,25.2003430929881,25.1399378950845,24.7095334574032
"59.05_1",24.222691789957,23.7839508514272,24.5097617956627,23.7950928440947,23.5964560756638,23.0839191110508,23.3701366253972,24.7933445773099,23.3964915243037,23.8673433987162,23.9019320608278,24.4015513246163,23.90500895726,23.3750706354153,24.4002373422827,25.1664229212164,24.4916017293485,24.9342722616856,24.0464261380679,23.6969399098693,24.1356159732285,25.2720477092889,24.0758912165125,23.7934688720475,25.0600328749381,22.874498214664,23.9930149160575,25.9789087227702,24.5168168108521,24.8277019765443,28.0874745651422,24.2104230328931,25.2085981132171,24.0586479854613,23.0291606975037,24.8631300281121,24.1695809706278,24.4725007866805,24.39861348584,24.1417655304815,24.084111493684,26.6501453634556,24.0368969521212,25.052179808221,23.8477497349397,24.2590416447247,23.1317163744517,26.5072417264703,24.4683433182717,25.8762713662065,24.017054498312,25.8180857075189,23.8588765550917,24.0038619971449,23.1030384347003,22.89874172409,23.7159657669044,22.6462520087395
"60.05653_0.953",22.6144380505474,22.5107350339973,21.7312046114519,22.4849881249259,25.1551029202635,23.0428516594217,22.3934729956728,22.8031725514213,23.4284971475617,23.0799268215875,23.8029171037823,22.6705266002026,23.0929047373009,22.4741471950647,25.5834525062693,21.0606094704427,22.198471745343,23.9157388929072,24.22997028542,23.5585329922155,25.4911434712389,21.8679843408563,24.0956677809525,24.8376235276638,23.4274374131547,22.3876583937442,21.424744540508,26.3185320601286,26.8092684150047,25.1832495387236,28.6517565654574,27.5001184444215,27.6203220532004,25.2479683771528,25.7032486228475,25.0436683926994,24.1341570637662,24.4929119117767,24.4160454104347,22.2135313091566,22.5187881946807,22.7335860262787,21.9760793088047,21.2819404070812,22.4273189882084,21.5237171105653,21.8573636176504,22.9536286835104,23.5407007063632,23.1060320076373,24.4359605751373,20.4390238575505,26.3809968500522,22.0783754280154,22.2023865855897,21.8083210541427,20.8411504335016,21.7613081895837
"61.02928_0.045",26.6965650820926,27.7340588646713,27.0646589108343,26.8276184270901,27.0727310551817,26.9010677749456,26.8685425274355,28.5143895188115,26.8131388479571,25.5962679900858,27.2393883483337,26.2788419995198,26.1990460862528,27.6364910884934,27.6980274330277,25.532920802448,27.8179371081473,27.1866835046146,27.272454129297,25.0957361663333,25.6606149995056,27.1449181281135,28.0324425589264,26.4311870537793,26.279227369966,26.798400542972,27.4780202226541,27.9516698872943,27.9505853962207,28.6685242091973,27.6943743801012,29.1230095410039,29.4242265122605,29.033277377158,27.4967807604843,29.012048513624,27.7382192071054,28.6729592081503,29.1769487734788,27.7480626055343,27.3305281661591,29.0386535471733,27.6947251173768,27.8982863666952,27.3150219003869,28.3747770290788,26.016704215677,27.774819144492,28.7472146641667,26.8389844318431,27.6671796607523,27.2030933392914,27.2206918939347,27.1980285765472,27.1787623441199,27.6644632732734,29.0333099925585,26.0362460486856
"62.06094_0.929",22.7355412795364,23.0552255114236,23.4198344264907,22.2999153231722,22.1683262011039,23.1400452701159,22.4662573391457,23.3637742028807,22.8132914751093,22.5674731478794,23.6762331910594,22.8556040963912,22.1873770730151,21.9864697512921,23.2358405833289,22.6832588755555,22.9902467108366,23.4513574420905,22.482466115564,22.0092343339908,22.7328626854164,22.201440702053,22.7303581682799,22.438051917852,23.3227437474943,22.3310763076063,22.5810306677899,22.4815627492283,22.2097606734008,22.8292874169169,22.413286817748,22.1177605967813,22.1001528435944,22.42633697117,22.5000278929468,24.0819329006521,22.67626506288,23.4232803026326,23.3166357911428,22.8724614369539,24.1520473337908,23.0434109340478,22.6470795014038,23.2028235954746,22.1173917757983,23.8660973427215,24.5569778444273,24.0075744635525,22.8650649624751,23.9213188202002,22.0643688495531,23.1274177847001,23.1452483251209,22.5555232527958,23.4799684408611,23.0603709662791,21.9201309291311,22.8200847499536
"68.98293_0.809",26.197902214626,26.4941118497884,26.607467446806,25.3018072489614,25.4355018624829,26.8044738438378,25.5520757609823,27.3765988107469,24.8996389638415,26.8243245731108,25.5516427336932,27.349665087851,25.7782895240244,25.5392364610294,27.0904487659244,26.472142205334,25.8499843733709,25.4440037844078,25.1478886891691,25.2915798184491,27.0671386377816,26.8810252452413,25.9082954212163,26.6642787162193,26.8502868078607,25.2086321174141,25.713121246871,25.7496449354803,25.1332248098962,26.3688181668341,26.0773410547515,25.2974717848097,26.8018543058957,25.0222583485165,25.8923440703008,26.1183772347255,26.5708007217483,26.2550949252122,25.9181672680567,25.5874772449647,27.1785607544966,26.9923484026463,27.2830960111298,26.7783708180196,25.6144211987132,26.8869295335705,26.587049426543,25.9547679761814,26.1317659184273,27.1059249749501,25.5104940752801,26.738699974319,25.3245730689196,24.659808437531,25.8532713128395,26.3063070825026,25.6840727136849,25.7331318102591
"69.03428_1.187",23.9214091772689,23.3603471426483,22.6644495826142,24.2272937477081,24.4985256507126,24.4260608360333,24.3747507231314,22.0555888384106,24.070251800284,22.9524134718384,23.3093117873635,24.1662009254585,24.1374798179002,23.392628467669,24.2703451595486,24.2123130766824,24.1356261011743,23.911589366106,23.7993308730222,23.0857226181904,22.9094665135026,23.758489489714,24.4708073251122,23.6381672932497,24.1753748590203,24.5060749495623,23.802882810151,24.6780521119485,24.7633197568101,24.9210635881331,24.7403944387799,24.5607043542028,24.828776456189,24.6869197185937,22.953814053336,23.8848729491705,23.8564576665311,23.8482153573975,24.2046827052498,24.4694186052667,24.4766164902893,22.0842406892553,24.5466223839964,22.1667959555843,24.7165062022998,23.614338347381,23.6141128438482,24.1682528048594,24.4729076734827,24.2536540651361,24.6880662327041,23.7235752022246,24.0717630811593,24.8314015320908,23.7028698934307,24.3434799829081,23.8195694236714,24.1616169906465
