peak,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
57.03312_1.163,-0.00122833184073384,0.0269073744208264,0.0195018426959782,0.0326451639678537,-0.0401167926447008,-0.000785774856644617,-0.00973594882254357,0.029421916944137,0.0246279837277912,-0.0324166424695994,-0.00293428812689265,0.0030775512393256,0.00820622787549065,-0.0155971115465343,0.0245185295408501,0.00716345581166525,-0.00927559939614329,0.045787338571503,0.0495806248261829,0.0269936032946262,-0.0233316616569679,0.00748887924512507,-0.0315742872265619,-0.014519104746724,-0.00966883793884991,0.0139624346042568,-0.0595859288969949,-0.0313401828793642,0.0132927352377838,-0.0123943966247489,0.000946978301609274,0.0273610593355847,0.0200679844670439,0.00329850882528626,0.0118566109951353,0.0794981414274845,-0.00576970584671469,0.0591765989081447,-0.0212694094607848,0.0183988002147437,-0.0711127187799591,0.00992596252643045,0.0503241211420035,0.0257653948042293,0.00222024436035847,0.0360076889645293,0.0124563381464272,-0.00879731257784511,-0.027363674860106,-0.0583941729637319,-0.0370774388269228,-0.0960760788745181,-0.00233808324083359,0.0132595583433433,-0.00974656428583892,0.0179339283096421,-0.0767980228511395,-0.00927158899435954
57.97429_1.841,-0.00528646153692146,0.0218736137362335,-0.0018875728021507,-0.0230059800947653,-0.0456750199240407,-0.029653776199177,0.00502076534399454,-0.00862312144737009,-0.00693969386264031,-0.0414504633668418,0.00469978668134616,-0.039501560330339,0.0270258157310726,-0.0619681658038146,0.0048499076986396,-0.0531322618919184,-0.0113866714358333,-0.0193563387951257,0.0277244595544634,0.0650628115198676,-0.00634935644564985,-0.00388486061829994,0.0277355363630226,0.011487796080489,-0.0253705344782047,-0.0257217875371389,-0.0132693129740386,0.049786516162547,-0.0103423953220475,-0.0248966700593188,-0.067174393611983,0.0283461165875837,0.00695635802609964,0.0128597088928597,0.0254272404463768,0.0440478712471993,-0.0254692224424876,0.0416854794276267,-0.00507885347566331,-0.00693781363299631,-0.0402650054691362,-0.0454946259652319,-0.0540272304412481,-0.0286108308000245,-0.00442457183593847,-0.0534739112662629,-0.000364476433106606,0.00302701146463704,0.0198938357402263,-0.0478710309295257,0.000871516045215024,-0.00728161013104659,0.0216909754168408,0.00561240718148951,0.00533919239942149,0.0561891721118489,-0.018858289392955,-0.00305912098172209
59.01236_0.882,-0.0295938025375732,0.00642423845701218,0.00893033140719798,-0.0246108678448437,-0.00409513936928455,-0.0176803331041327,0.000976042900161442,0.0121842617219579,-0.00656424964208142,-0.0425749218999225,0.0174617545183938,-0.0256139159742367,-0.00478844407767906,-0.0310114020659586,-0.00806288382306701,-0.00233830766298515,-0.0210399622146261,0.00782300018325459,-0.0201025504001769,-0.040337189614227,-0.0136505492330934,-0.0126785773710181,0.0193260961033615,-0.0155553153739762,-0.00676394051482468,-0.0433103034520851,0.000616366939326295,-0.0136640761938864,0.0280283444922203,0.013420494359832,0.00517011081164866,0.0128314697935968,0.0265128095364784,-0.0538642785773445,-0.0131598006644543,-0.0162582400067855,-0.0133898596888149,0.0428984951682196,0.0157576835510184,-0.0234156590983562,0.0122877046317618,0.03174523899167,0.00509428409531515,0.0104608936436352,0.00625599487196548,-0.015458380721703,0.0179756861853978,-0.0220031194335768,0.025666215643562,0.017796949496377,0.0429026999907235,0.00385661498323759,-0.00987092539113838,-0.0631236035121278,0.00412163728184866,0.00955447482932029,-0.0424170365779772,-0.00423164668346167
59.01242_1.164,-0.0243591910661343,0.0351410421638336,-0.00296312566470747,-0.0255754754241716,0.0143874776055385,-0.0384925811464546,0.00357316250962124,0.0327747834240409,0.00204001416266255,0.000949920985545057,0.0207584373711457,-0.0214841468751771,-0.0113302964386917,-0.00797545638577433,-0.000621964211037625,0.0434589395976749,0.0227434093685824,-0.0133677507698334,0.014281410308342,0.0147186586837125,-0.0242370968772252,-0.00485938424875608,-0.00864390571877703,0.0365063870598137,0.0166341384526171,-0.0111115492828947,-0.0074973098757264,-0.00348078096464135,0.0300288267027013,-0.00651378598538638,0.0335043493597565,-0.014252104709571,-0.038520253304059,0.0222265570672921,-0.0141272268466291,0.017252949448935,0.0278488881571609,-0.0203354518403638,-0.0129941503178637,-0.000832942357664996,0.00825714010294803,0.00795930385392567,-0.00695337914382786,0.00753086988739075,0.0166389582702227,-0.0263007101443037,0.0124814525022958,-0.0193109722590753,0.0208711187827619,-0.00443991280971864,0.00480567629711874,-0.0352351320725594,-0.00149196821279424,-0.00641090699994756,0.00868120287956839,0.020426578244659,0.0214275019785941,-0.0325762867697847
60.99163_0.266,-0.00369313102936647,0.00602481373917681,-0.0107690823222154,-0.0462532965721547,-0.0236713308904195,-0.0307359111336206,0.00453069810811857,0.0126202014402635,0.0471984021493059,0.0186621120185278,-0.049618919584824,-0.00685569300951846,0.00338490586688549,-0.0144102869885535,0.058588974338654,-0.0297382342338833,-0.023274271607506,0.0137599683937223,-0.0287744774724522,0.0450564565635451,0.0199126371062568,0.0508848045686945,-0.0250015308051796,0.0258889087370769,-0.0327085134910467,-0.00870145735315491,0.0129806506426395,-0.0836443824591466,-0.06757850790901,-0.0158599034554257,-0.00705398057888366,-0.027817070182981,-0.000303826450188358,-0.000906347246579989,-0.0327240376156943,-0.0211429380304041,-0.0161777009328034,0.0305443164310892,0.0256129041769418,-0.079057185829806,0.0297948456273268,0.0387432394673295,-0.0155339350269356,-0.000835969112797069,-0.0064124435167659,0.0098875659078773,-0.0202976191577251,-0.0172920858904483,0.0152381162513763,0.0101005134972109,0.0479996577253096,0.0326140129413302,-0.00965180837014271,-0.0156107426754918,-0.0142964134304597,-0.020272647786483,0.0124712695188112,-0.0148661590909508
68.01277_0.32,-0.00659320272932523,0.031774980823123,-0.00421399835260556,-0.0386060230455348,-0.0377349441699866,-0.0164084139099401,0.0145107208417283,0.00582849567323118,0.0238507334906638,0.0248202270628506,-0.0581360648141778,-0.0149838728633962,-0.00142648320091645,0.00633759918672162,0.0381975094895461,-0.0377188931832261,-0.000623651959106121,-0.00697435630191032,-0.0291185900688294,0.00962355657049739,0.0278473965164859,-0.000606620885685833,-0.0168632539251981,-0.0168180723717157,-0.0413253155300624,-0.00231839484948493,0.0202318878820941,-0.0622253978589293,-0.045377623700026,0.00696055100660002,-0.0123793446326706,-0.0318877948777683,0.0213914317266996,-0.0275628861943967,-0.00130862299704862,-0.0397814707905138,-0.0363034565364699,0.0371156128670065,0.0384673627184811,-0.00126304200504697,0.0593948566526624,-0.0136900246684822,-0.00729149551781781,-0.053643166249207,0.000299254643465128,-0.0288876972896196,0.0108234228697277,-0.0228279854143799,0.0286729833578835,0.0188698873841901,0.0510060036455328,0.0499479820114566,-0.0272974720129672,-0.00960513650741127,-0.00448894316250247,0.00224481763580563,0.0473310948646742,0.0133278202505229
70.99718_0.801,-0.03609194760831,0.00281707192253894,-0.000252505248441639,0.00975199983612012,0.0142211928723858,-0.00492660657185369,-0.00811625645223712,0.0219362854271165,0.0110044268308287,0.0107231731511463,-0.01018226099997,0.0234184172538687,-0.0217405159203976,0.021507711157448,0.00614153137873938,0.00312293615983212,0.0132625261395564,0.00592915329626134,0.00994649702993303,-0.0134451321714507,-0.00407026038229674,-0.00308472173963451,0.00493717753425623,0.0204442179428349,-0.0050484695515222,0.0229138904208346,-0.0306956006787463,0.0111395494966332,0.00436102612636561,-0.0101988844651373,-0.0161617736091507,-0.00979567142787443,0.00566667463363103,0.0180260108837795,-0.00816040921039497,0.0126905790651387,-0.0255171151693797,-0.0109142170820031,0.0100976742920665,-0.0110531288259858,-0.00420153532786135,0.0195097789136943,-0.000247379252889928,-0.0120708557361755,0.00754240411686967,-0.00522173336475334,0.0135094964794075,-0.00652117643419459,-0.0119819367546163,-0.013718172398898,-0.0112838650220659,-0.00478414345519558,-2.46375875776698e-05,0.0104370899626347,0.0234528864777689,-0.00148835849281029,0.00166384940200292,0.00350520741140063
71.01242_1.132,-0.00569301425885737,0.0557841261033539,0.0136896951065789,-0.0120991197263147,0.0140011872413185,0.000546744207720214,-0.00313518939023426,0.0331181059779234,0.00888852561096627,-0.0252194538752136,-0.000334638113848527,-0.0226479056109897,0.0327624953569161,-0.0132879818673504,-0.00858866523639537,0.0223868318510708,0.0231694339295402,0.0260944235585655,0.0470534023733522,0.0160355391547118,0.0257029035369399,-0.0114178382345006,0.0464170611427009,0.0138393273971179,-0.0205763004427073,-0.00886243363559122,0.045144965848297,-0.00824959557055957,0.0197779913287722,0.0197625400246042,0.0363570896755001,0.0235081151552187,0.00560902333905097,0.00846779743535017,0.0141586234669085,0.0183609523121426,-0.00354621288159267,-0.0207964185599374,0.00393796174110349,0.00192674317145912,-0.0163286298645674,0.028598473964113,0.0269961663217416,-0.00731093604770351,-0.0333334360747961,-0.0158818058185021,0.0445248021267441,0.0111290678975893,-0.0172194941696918,-0.0292117861182833,-0.00646836227822348,-0.0143085561702997,0.00183339127431171,0.0159125118846336,-0.0161680651330554,-0.0067231122294307,-0.0480457374644304,-0.0241569301329374
71.01244_2.155,-0.0247861230384398,-0.00531646528741865,-0.0278861153182165,-0.0188270732972338,0.00831531488042238,0.00132940269512542,0.0266793497527701,0.0181318631046736,0.0195277553120418,0.0204822966197111,0.00443974580199197,-0.0512506209011096,-0.00279166696742981,0.0221267671777537,0.046666208243796,0.0225824925555391,0.000917328960187853,-0.0275255691757526,0.0173681792283016,-0.0218665981315906,0.00331435878687684,0.0062020530189918,0.000713619122911288,0.0171901182735616,-0.000794868639657059,-0.0162715453347823,0.0223918166960634,-0.0117607547283835,-0.0269891278613793,0.0151591477586978,-0.00945434200771397,0.000103161524008117,-0.0282779841621505,-0.046266832043459,0.0843953009281129,0.0534563893086849,-0.012391367313963,0.0348220816853538,-0.00433132662533907,-0.0200813604639721,0.0306582048488914,-0.00181404359233345,0.00486809271965235,-0.00360981903906185,-0.0483808302134164,0.0138202252973102,-0.0223395234459544,-0.036296071889392,-0.0220578664566114,0.0301387758044289,0.00206649322011687,0.0337736355588463,0.0209283482052987,-0.00253573975876759,-0.0159244575770763,-0.00120940999413955,0.00488807409334985,0.0580514413241695
72.00765_1.063,-0.00661612753643805,0.0545939150253019,-0.0206375387472907,-0.0213972703746481,0.0337148195065547,-0.0153861459585641,0.0371926002029032,0.0156218370792939,-0.00922628343861803,0.0125882356294744,-0.0190979866756742,-0.0410225549325234,-0.00133802852247485,-0.022200316078088,0.0159757884013427,0.0155187317170559,-0.00354139417186343,-0.0012904844524923,0.00597995906424317,-0.0389268490193208,-0.0186453656851122,-0.0130956517385726,-0.00911983959695175,0.0216837666808394,0.0225107993914831,-0.0260424286524873,0.0211417776349471,0.00793871580465603,-0.00486120182668773,-0.00566817448988229,0.000965233721728325,-0.0132394593596368,-0.00893516743108518,-0.00522881174909231,0.0198347351361547,-0.0206893141319444,-0.00646005370185715,-0.0142278170919834,-0.0272110060177081,-0.0335876066713129,0.00303652584671383,0.00367796523684002,0.00625798018432085,-0.0185119862959718,-0.0165962779030857,-0.00429665339970048,0.0114161892550018,-0.0127645688907509,0.00922044314133342,0.00245774077516435,-0.0053430244858476,-0.0166425823186018,0.00547676829606602,0.0228887925784671,-0.0109055452663289,-0.00768028679858024,-0.0314520558641226,0.0106622133730437
