mz_rt_min,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
55.01853_1.193,-0.0179985328855574,0.0210339191864824,0.00338535897647638,-0.00330580295448242,-0.00972555199900163,0.0291094330370049,0.0223748990206493,-0.0733664718445144,0.0244903432722514,-0.0144717701638222,0.0173765965662458,-0.0371065744509655,-0.0528529203285195,0.0107836189643243,-0.0264003328522225,-0.00707737488385936,0.0172134963829037,0.0350225645207253,-0.0498084391398378,-0.0160114545992376,-0.0281052199236593,-0.0330559143409793,-0.00577027311066812,0.0499118423964396,-0.00278031116787325,0.00707915081825112,0.00995043245842584,-0.00349833263845725,0.0109705110895876,0.00681655604783969,0.0310267557704547,0.00212281273891268,0.0198499944397837,0.0284599380032029,-0.0487081270240814,0.0358618819788102,-0.0250965679489242,-0.0205546691910937,0.083476351046873,-0.0571927779519681,-0.0317139982217566,-0.0679372685040675,-0.0145921718857959,-0.0682828160680325,-0.0356241119864087,-0.0252872391764771,-0.0021375886426174,0.0260357649238253,0.00827584579565372,0.0275603623158642,0.031629421275178,0.00774665048489036,0.0114873099817974,-0.00617022135306092,0.0727070393433694,0.0430345834605881,-0.00307227279312377,-0.00980189449273686
55.0551_1.003,-0.0438872406032951,-0.000383295121967243,0.00591226912365914,-0.013204929892021,0.0153387532687107,0.00688703407729813,0.0259118723374116,-0.0221397555827559,0.000949966857999987,0.0152956788305029,-0.0062340719575607,-0.0131473586759676,0.00134865821900696,-0.00988080170209374,-0.0105015736247258,0.00385462071369709,0.024115275233993,-0.0223480947878755,-0.00264177218242172,-0.00514726402488291,0.00424162371613109,-0.00935012378515064,0.00347133585083332,-0.00861520111456227,0.000605852108696731,-0.00679384387077867,-0.0122623904777693,-0.012672734608466,0.011974912126465,-0.0281097989344522,0.0285404624217767,-0.00680475913535972,-0.0150655240759154,-0.00450691534500255,0.00534565897362411,-0.0110737458480064,0.0105072127413593,-0.000119881991514233,-0.0174550609717346,0.00116700274518504,-0.0174188944315273,-0.0108028486735795,0.0170140487784935,0.0226596731943527,0.0350526277020094,0.0162904350377225,-0.0128242043675231,0.011912089659645,-0.0105511266173238,0.0205865864199199,0.00364839621411362,-0.00542598800766488,0.00996410355697034,0.0160497332792257,-0.0123963462843993,0.014306462468646,-0.00911123347491341,-0.0239707483496459
57.05806_1.189,0.00486138687689883,-0.0125919776007294,0.0261105443537306,0.0360362979216502,-0.00956177302133295,0.0279029053690331,-0.0369497746696794,0.0287255533292779,-0.0498756556275696,0.030136244097282,-0.0388707620096899,0.00298105823143853,0.0231504017040324,-0.00508578018887591,0.0207368078553516,0.0118285173437458,-0.0767870710283089,0.0425865519807553,0.0223921693497293,-0.0286378108076389,0.00833091899214358,0.0218681034027949,0.00435236535070192,0.046293579540806,0.0174898148604963,-0.0257996353696689,0.0602548562149004,-0.00406820153782677,0.0354163251702173,0.0266719535419673,0.00517189540168211,0.0308299494829664,-0.0483329862268832,0.0187658247050821,-0.0565057973897487,0.0355283952060517,0.04692821458594,0.0354073098024459,0.033134173682101,-0.00379274229554003,-0.0262924791178571,0.0679188975759766,0.00449473956341944,-0.0156112017237241,-0.0669653888024137,0.00302356524307746,-0.0908252378639318,-0.0284472052025519,-0.0832481014870627,0.0130322037089329,-0.0378818208354219,0.00786987162722912,0.0108803568196843,0.0194605796631593,0.0248545686201936,-0.0166727702238917,-0.0510805900199404,0.0166566421968197
58.066_0.799,-0.0190840283458308,0.00332439729193439,0.0153187007126004,-0.0178773951196209,-0.0280523466557722,0.024800083171109,0.0198824843060693,0.0183521755631668,0.0244769282134929,-0.0575349728346182,-0.0368202465017127,-0.0258219863561275,-0.0551027366355728,0.00217246474522067,-0.0288468328348918,-0.0280833760177369,-0.00807923963943945,-0.0518484418907208,0.036559054093093,0.0261967780255464,0.0016631836698068,0.0126364868947819,-0.0437646886274726,-0.0117186694909166,-0.017717155616724,0.067351933991462,-0.0108016552867086,0.00162358933310957,0.0041431983348856,-0.0292895577971949,-0.0274424681859018,0.00420618496972938,-0.0126195546660614,0.00787780748067314,0.00853063507058597,-0.046756416764638,-0.0257419506757029,-0.0173757936642221,0.0369173083458467,-0.0258785425211018,-0.00921183812412914,-0.142375110111054,-0.00181914725610116,-0.00644753235301463,-0.0819669621576813,0.00621773794570073,-0.0245772800422791,2.22803135482554e-05,0.0205800963506675,-0.00355729395279832,-0.0115043041321029,-0.0597163744056969,0.0424727698441704,-0.0152765842616165,-0.0215078116885237,-0.0371735657122902,0.0517637597471207,0.0262896105006223
58.06601_1.092,-0.0260914770009467,0.000402027465132202,-0.0134082177438605,0.045771038287676,0.00245316558236199,0.0311502905961188,0.00424563147090535,-0.0217747622425837,-0.0081194142475101,0.0428933902621663,0.0391987606290896,0.0248751474042581,0.000913254254336516,0.0220519496848167,-0.0461699694976624,0.00624328995430401,0.0208659178708952,0.0224238969267781,-0.0203809903948565,0.0584012518961476,0.0145678155529399,-0.0271799653629157,-0.00308505165089273,0.0282457413303135,0.0411962129310242,-0.0157859263186933,-0.001099512201875,0.0557998849074511,0.0352933417438787,0.0335932558163003,-0.0303102204034329,-0.0256056555995742,-0.00550944836901087,-0.0206454781261055,-0.0129739591867285,0.0125870384529867,0.0342016749943859,0.00575317968811428,-0.0613035210871792,0.0238250918687077,0.0147041670792415,-0.000554067904299609,0.0204954308690209,-0.0451007647699424,0.0216488366135976,-0.0273459549043501,0.0272737781080946,0.0374900535674016,-0.00739614066166041,-0.0549621253492694,-0.0826276201815474,0.0127123696470751,-0.0450869210886804,0.000224169407217739,0.0303328470693189,-0.0140886861454222,-0.0552122175649247,0.00767677856584796
59.05_1,-0.022720484043403,-0.0344115377086806,0.0155036819120998,-0.0317029560724627,0.0074190352332072,0.0303429381281679,0.0308274999634157,-0.0118637470406656,-0.0109150454721789,0.00749195574970995,0.00633498451237384,-0.0379089365612698,-0.0139526794698727,-0.0180017246192381,0.0261882472464657,0.0152320683832369,0.0165834534584714,-0.0299720038737912,-0.0510856626337164,0.00761832677076045,-0.00468735264609785,0.00139412320082713,0.0136733022707642,0.00767275925208748,-0.0244711331242544,-0.0159014514043407,-0.011341624335635,-0.039043764527058,-0.0111222630147234,0.0045151481061734,0.0159638152595755,0.0193046016849558,-0.0238837666074972,-0.0656601379991513,-0.0365039950284387,-0.00106996530599521,-0.0202442023080323,-0.0266490925373042,-0.0214783243896199,-0.0314976005815751,-0.0182949254731591,-0.0397206105273653,0.0186244885858449,0.0339756392956212,0.0763700892353614,-0.011095137321131,0.0128927980857015,0.00790263198507192,0.0118750668268651,0.0249320242949943,-0.00457546757482447,0.0179023532926517,0.0545801509423324,0.0306589821186698,-0.0165749020409529,0.0656695484474132,0.0306754860395478,-0.00262184012049893
60.05653_0.953,-5.40822249692833e-05,-0.0225162127173437,0.00632887479186491,-0.0497535667065937,0.0338594772536449,0.0313289590433318,0.00547847941446735,-0.0243906130255669,0.00426562320320731,-0.00616847175908715,0.0499081884069272,-0.0537166444868453,0.00964185311705582,0.0193832227895562,-0.0614876461094347,0.00165251005662009,-0.0131248780195324,0.0828622651682064,-0.0191656491496749,-0.0431465721412201,-0.0144688194947246,0.0147132648912136,0.00910711303821226,0.0181169397802787,0.0279658630418864,-0.0362782958063914,-0.0318128396198328,0.0627105834454781,0.00848000427286731,0.0213613556874613,-0.0745771370979644,0.00316611260677241,0.00900368438887901,0.011834184338312,-0.0510633624522743,0.0429424826657725,-0.0188729499340998,0.028495788354963,-0.00171423315140265,-0.00758185881420179,0.0320300016859994,-0.0391925591714515,-0.0565179619728229,-0.0130489645457095,-0.0409102594162624,0.0343207305756984,-0.0186285010060064,0.0197960799450962,0.0317815414442996,0.0276987171899147,0.0116546190708297,-0.024052430391406,-0.0358521654387659,-0.0352113919892845,-0.00198065145736921,0.0415995174775879,-0.00667785099277496,-0.0202747475561159
61.02928_0.045,-0.00150967075484932,-0.0427253709482394,-0.0138243198424488,-0.00738532410957622,-0.0242177409218097,0.00504253253117265,0.00968474116201422,-0.00667026219241018,0.0260301455285233,0.0304221445746007,0.0299853289979009,-0.015598328334543,-0.0337140737489744,-0.00613745286686768,0.00572248018901213,0.00433393546030141,0.00100865706808672,0.0360683734939775,0.00558187798906029,-0.00641168582492621,0.000174079212045799,0.0246082014160469,0.024196330684444,-0.0557930619849438,-0.0248175267189408,-0.033544645499753,0.061349396413293,0.0702040526523403,-0.0277467981970784,-0.00326805907338605,0.065428875279659,-0.011313132347517,0.00592221196975272,0.0886561807658794,-0.0181364779873144,0.00845481385996671,0.031511090586297,0.0177446208792381,-0.000512619838701417,-0.0462491373718105,0.00368161146626988,-0.00520049816038979,-0.0625994012210403,-0.0137881447766244,3.82057802623151e-06,-0.0113427388062401,-0.0153260295754722,-0.00552503505938382,-0.0139158178458438,-0.0632638361259106,0.0257262874521699,0.0331538571414268,0.0039467511433152,-0.00596738106245333,0.0796944447359888,0.0427167498094298,-0.014126855433491,-0.0246737895199455
62.06094_0.929,-0.0211848987780612,-0.00535082804379405,-0.00670642564250263,0.0367137111257641,-0.0296666310918784,-0.00148863672611387,-0.0519531644665989,0.0242272022880928,-0.0137085520218378,-0.0485326770261312,-0.012683729807382,0.0562569522816493,-0.0286280092739451,-0.0178277399141412,-0.0596360884243893,0.021035994970311,0.0176468833920024,0.00929305364724148,-0.0429544829611878,-0.0147066926352556,-0.00897566297714897,0.0174552596521877,0.0387225554772157,-0.00866329036018907,-0.0288967089341378,0.0663534377295322,0.0247778735300268,-0.00722775170473414,-0.0254774622324556,-0.0372118199643145,0.0278285452964859,0.0542566078022612,-0.0324643875428312,-0.0423369716090631,0.000525776348602422,0.0605862708269836,0.00374879111441583,-0.000188475102390858,-0.0470475314963019,0.0244897615576647,-0.00296864046624406,-0.00325900180344479,-0.00654265211732253,-0.015424343157662,0.0439674686815439,-0.0074055630594834,-0.0234283785264331,-0.0364743039678236,0.0154219818913928,-0.00137094907163975,-0.0350962765909467,0.0396679613560835,-0.00554748153554429,0.0250892612039403,0.0194880076596966,0.0389732047483771,0.0130845830263252,0.00237369192376842
68.98293_0.809,-0.042494777547646,0.00893986536721001,-0.00287492155417618,-0.00106748471648367,-0.00841206212698879,-0.0382032328622109,0.00646913871572368,0.0275595642865294,-0.0152966656003965,0.0335088545883894,0.00450183322121246,0.0329421570574928,-0.00551472582509548,-0.0214945276775713,0.00399612437329553,-0.00857297727634536,-0.0110604804003545,-0.015625583232545,-0.0077004253696407,-0.0125233706790186,0.00229489329664931,-0.00376962132301636,0.00915432063663147,0.0160833680184306,0.0111815439812124,-0.00317318420618554,0.015803402542882,0.000172353594736713,-0.0104906662929189,0.012434517970571,0.00993247517941039,0.00277281688616274,0.00856973616948681,0.00145716027163679,-0.000120094612376958,0.0181528767456534,-0.010832412243307,-0.0124100070156412,-0.00959644281166579,0.00630934413448108,0.00464608688914705,-0.00408280851301441,-0.00400099788555301,6.59765994753973e-05,-0.00486299198530842,-0.014558538555836,-0.000369721086502025,0.0148570591345844,-0.00400973152854172,0.00287563396671754,-0.00297488990698975,0.000799708542991139,0.0109678645136116,-0.0126897479950863,0.0070758011030539,-0.00652959523728338,-0.000320781640241398,-0.0524726354291503
