"mz_rt_min","comp1","comp2"
"57.03312_1.163",0,0
"57.97429_1.841",0,0
"59.01236_0.882",0,0
"59.01242_1.164",0,0
"60.99163_0.266",0,0
"68.01277_0.32",0,0
"70.99718_0.801",0,0
"71.01242_1.132",0,0
"71.01244_2.155",0,0
"72.00765_1.063",0,0
"73.02806_1.167",0,0
"73.02809_1.809",0,0
"74.00556_1.4",0,0
"74.02331_1.02",0,0
"75.00737_0.309",0,0
"78.91748_1.463",0,0
"79.95589_2.96",0,0
"79.9559_1.076",0,0
"79.9559_1.617",0,0
"80.96372_1.604",0,0
"82.02844_1.591",0,0
"82.95274_1.579",0,0
"83.01242_1.119",0,0
"85.02808_1.176",0,0
"85.02809_1.009",0,0
"86.02331_1.061",0,0
"87.00727_1.271",0,0
"87.00738_1.547",0,0
"87.04374_2.541",0,0
"88.039_1.061",0,0
"89.023_1.142",0,0
"89.02303_1.501",0,0
"90.02643_1.269",0,0
"90.96994_0.801",0,0
"92.92663_1.431",0,0
"93.0444_0.9",0,0
"93.04444_1.171",0,0
"94.02842_0.997",0,0
"94.97946_1.482",0,0
"94.98905_1.403",0,0
"95.01253_1.176",0,0
"96.95877_1.586",0,0
"96.96824_1.383",0,0
"98.02336_0.975",0,0
"98.90544_0.832",0,0
"99.00735_1.673",0,0
"99.00741_1.204",0,0
"99.04379_1.243",0,0
"99.05503_1.024",0,0
"99.92436_0.86",0,0
"99.92444_0.306",0,0
"100.03901_1.074",0,0
"100.03905_1.683",0,0
"100.03906_0.889",0,0
"100.03906_1.896",0,0
"100.93226_0.818",0,0
"101.02306_1.185",0,0
"101.02309_1.694",0,0
"101.02312_2.009",0,0
"102.05471_1.061",0,0
"102.98739_0.8",0,0
"103.00228_1.377",0,0
"103.00233_1.207",0,0
"103.03878_2.201",0,0
"103.0388_2.207",0,0
"103.91884_0.315",0,0
"104.03396_1.016",0,0
"104.92724_0.31",0,0
"104.9585_0.801",0,0
"105.018_1.209",0,0
"105.9345_0.316",0,0
"106.97936_1.403",0,0
"108.0553_0.9",0,0
"110.02345_1.243",0,0
"110.9567_1.652",0,0
"110.97444_1.563",0,0
"111.01871_1.276",0,0
"111.01872_1.539",0,0
"112.03906_1.246",0,0
"112.93598_1.615",0,0
"113.02311_1.153",0,0
"113.03415_1.022",0,0
"113.0343_1.069",0,0
"113.07067_1.003",0,0
"113.9354_1.615",0,0
"114.01838_1.06",0,0
"114.0184_1.256",0,0
"114.05476_1.168",0,0
"114.0548_4.17",0,0
"114.05493_1.017",0,0
"114.98735_0.797",0,0
"115.00237_1.061",0,0
"115.00242_1.239",0,0
"115.00242_2.154",0,0
"115.03881_3.04",0,0
"115.04998_1.003",0,0
"115.98792_0.797",0,0
"116.03402_1.232",0,0
"116.07043_1.193",0,0
"116.07043_4.115",0,0
"116.92725_0.314",0,0
"117.01809_1.812",0,0
"117.05442_3.687",0,0
"117.05447_3.687",0,0
"118.04967_1.042",0,0
"118.92939_0.937",0,0
"119.0337_1.155",0,0
"120.01115_1.02",0,0
"120.95359_0.789",0,0
"121.02829_5.672",0,0
"121.03958_4.177",0,0
"122.02354_1.54",0,0
"122.89293_0.796",0,0
"122.9745_1.479",0,0
"123.9007_0.792",0,0
"124.00615_1.206",0,0
"124.00616_1.075",0,0
"124.00617_1.724",0,0
"124.9902_1.442",0,0
"125.0232_1.054",0,0
"125.02327_1.605",0,0
"125.03443_1.208",0,0
"125.03447_2.265",0,0
"125.88287_0.783",0,0
"126.00076_5.079",0,0
"126.01852_1.562",0,0
"126.87979_0.765",0,0
"126.8798_0.82",0,0
"126.95171_1.778",0,0
"126.99599_2.456",0,0
"127.03894_1.003",0,0
"127.05015_1.041",0,0
"127.05015_1.22",0,0
"127.92314_1.619",0,0
"128.03412_1.066",0,0
"128.03414_1.556",0,0
"128.93098_1.562",0,0
"128.95834_0.936",0,0
"129.01815_1.537",0,0
"129.01817_1.241",0,0
"129.05454_5.127",0,0
"129.05456_5.546",0,0
"129.06587_1.001",0,0
"130.0498_1.263",0,0
"130.04982_1.255",0,0
"130.04982_1.577",0,0
"130.06104_0.903",0,0
"130.08617_1.656",0,0
"130.08618_6.277",0,0
"130.08619_1.261",0,0
