mz_rt_min,calculated_mw,mz_ratio,rt_min,mode
72.08159_1.171,54.04777,72.08159,1.171,positive
55.0551_1.003,54.04781,55.0551,1.003,positive
132.99837_0.801,55.00456,132.99837,0.801,positive
113.03495_1.263,56.01384,113.03495,1.263,positive
57.05806_1.189,56.05079,57.05806,1.189,positive
58.066_0.799,57.05867,58.066,0.799,positive
58.06601_1.092,57.05873,58.06601,1.092,positive
91.02463_0.802,57.99119,91.02463,0.802,positive
103.0388_2.207,58.0406,103.0388,2.207,negative
59.01236_0.882,60.01975,59.01236,0.882,negative
61.02928_0.045,60.02201,61.02928,0.045,positive
68.98293_0.809,67.97544,68.98293,0.809,positive
69.03428_1.187,68.02689,69.03428,1.187,positive
86.09713_1.235,68.0633,86.09713,1.235,positive
69.07071_1.616,68.0633,69.07071,1.616,positive
69.98368_0.805,68.97611,69.98368,0.805,positive
70.06583_1.066,69.05851,70.06583,1.066,positive
70.06594_0.877,69.05864,70.06594,0.877,positive
130.0498_1.263,71.03594,130.0498,1.263,negative
104.07114_0.971,71.03766,104.07114,0.971,positive
70.99718_0.801,72.00456,70.99718,0.801,negative
73.01424_0.8,72.00688,73.01424,0.8,positive
117.05447_3.687,72.0563,117.05447,3.687,negative
106.05033_1.271,73.01691,106.05033,1.271,positive
74.06082_1.054,73.05351,74.06082,1.054,positive
73.02809_1.809,74.03537,73.02809,1.809,negative
190.10749_1.146,74.03716,190.10749,1.146,positive
74.00556_1.4,75.01288,74.00556,1.4,negative
120.01115_1.02,75.01294,120.01115,1.02,negative
76.04007_1.018,75.0328,76.04007,1.018,positive
76.07648_0.951,75.06913,76.07648,0.951,positive
77.00909_0.801,76.00169,77.00909,0.801,positive
75.00737_0.309,76.01464,75.00737,0.309,negative
79.95589_2.96,80.96316,79.95589,2.96,negative
79.9559_1.076,80.96317,79.9559,1.076,negative
79.9559_1.617,80.96317,79.9559,1.617,negative
82.06583_1.002,81.05849,82.06583,1.002,positive
80.96372_1.604,81.971,80.96372,1.604,negative
83.04985_1.002,82.04257,83.04985,1.002,positive
141.06585_0.905,82.05188,141.06585,0.905,negative
83.06111_0.875,82.05358,83.06111,0.875,positive
82.02844_1.591,83.03585,82.02844,1.591,negative
142.04982_1.222,83.03592,142.04982,1.222,negative
84.08141_1.184,83.0741,84.08141,1.184,positive
84.0815_0.871,83.07422,84.0815,0.871,positive
84.9604_0.805,83.95308,84.9604,0.805,positive
83.01242_1.119,84.01994,83.01242,1.119,negative
85.0654_8.101,84.05801,85.0654,8.101,positive
86.09712_1.638,85.08984,86.09712,1.638,positive
86.09713_1.233,85.08985,86.09713,1.233,positive
86.99335_0.8,85.98584,86.99335,0.8,positive
87.05598_1.044,86.04864,87.05598,1.044,positive
131.07024_5.987,86.07207,131.07024,5.987,negative
87.99417_0.797,86.98651,87.99417,0.797,positive
120.06581_1.056,87.03237,120.06581,1.056,positive
88.03995_1.273,87.03247,88.03995,1.273,positive
121.01675_0.801,87.98336,121.01675,0.801,positive
70.99855_0.8,88.00164,70.99855,0.8,positive
87.04374_2.541,88.05116,87.04374,2.541,negative
90.05558_1.038,89.04831,90.05558,1.038,positive
90.97727_0.908,89.96999,90.97727,0.908,positive
91.02466_0.806,90.01742,91.02466,0.806,positive
89.02303_1.501,90.03031,89.02303,1.501,negative
91.05482_2.488,90.04754,91.05482,2.488,positive
91.05487_1.721,90.04759,91.05487,1.721,positive
91.05489_1.206,90.04761,91.05489,1.206,positive
135.94539_0.318,90.94711,135.94539,0.318,negative
92.02537_0.804,91.01815,92.02537,0.804,positive
90.96994_0.801,91.97707,90.96994,0.801,negative
93.02222_0.81,92.01497,93.02222,0.81,positive
223.02456_0.92,92.03071,223.02456,0.92,positive
93.04534_0.892,92.03789,93.04534,0.892,positive
92.92663_1.431,93.9339,92.92663,1.431,negative
95.04973_1.209,94.04205,95.04973,1.209,positive
95.04973_1.724,94.04207,95.04973,1.724,positive
93.0444_0.9,94.05169,93.0444,0.9,negative
93.04444_1.171,94.05172,93.04444,1.171,negative
95.06097_0.85,94.0536,95.06097,0.85,positive
96.04497_1.146,95.03765,96.04497,1.146,positive
94.97946_1.482,95.98676,94.97946,1.482,negative
94.98905_1.403,95.99669,94.98905,1.403,negative
98.0606_1.167,97.05309,98.0606,1.167,positive
