peak,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
57.03312_1.163,0.00708288756131606,0.00341262576703435,0.0185164172516381,0.0406641737325713,-0.028192830999668,-0.0268690350784182,-0.0105172788203938,0.0233492776425355,-0.0464666156371811,-0.017024458386486,-0.0002790014668829,-0.0169978019484161,0.00671204307096637,-0.0230095929732839,0.00923279446871077,0.0139400017788755,0.0200097318520214,-0.0209668949922666,0.0826105490765118,-0.0179496021975006,0.00635017900997187,-0.0311769395995686,0.015483997361236,-0.0293489737568468,0.0175015008176197,-0.0128271111584743,-0.0598175146356888,0.0053949154590964,0.0283770205627015,-0.0125262243039063,-0.00316566067684629,0.0285170818199276,-0.0118006894112392,-0.0803294291602584,0.0109931596711659,0.0666573286784785,0.0522652872494594,-0.0720471778125114,0.0585336023828282,0.012703191146343,0.0359389659323236,0.0459789664844809,0.0160473096426874,0.00885522417626406,0.012652269628099,0.0201755226417512,-0.00465093761716169,0.0248313084147816,-0.00933328289890069,0.0619844144472798,-0.046816950747077,-0.0810840404737326,-0.0614232007208547,-0.045862539052125,0.00549866136593795,-0.0538383613217257,0.0302431357935078,8.20341024624967e-05
57.97429_1.841,-0.00297375464142061,-0.00540427727559995,-0.0059027562312387,-0.0202071672089146,-0.0424637964402332,-0.050237929688101,0.00918009216286815,0.00224738218960234,0.0154450185856706,-0.0430688394233979,0.0252501227681557,0.00447427935917783,0.0416418767107433,-0.061185645570202,0.0190029635750535,-0.0407580438894686,-0.0407200062521304,-0.0714574672841829,0.0180622485720867,0.0343056775832366,0.00691859590445625,-0.0120437751182049,-0.0185181731811974,0.0174565886802035,0.0103077484967808,-0.031048368163154,0.0228670626022207,-0.0173975899230405,0.0136909566517091,-0.092211064794295,0.0447796874358368,-0.0169707596928523,-0.0249907080482541,-0.048883673112497,0.000750018788881823,0.0404340920166328,0.0216797439661478,-0.00878935739323578,0.0167439587572478,0.00452335912421984,-0.052298530866139,-0.0653907328508021,-0.00706566033398118,-0.00354365651591369,-0.0218023665990098,-0.0540859244921243,0.0363508931179502,-0.0550509256221116,0.0116086564794181,0.0375114302397788,-0.0207740727908621,-0.0195252053385569,-0.0167644822570257,0.0322203473649884,0.0395848831994129,-0.0277823280412845,-0.00300011918326083,-0.0149599765877495
59.01236_0.882,-0.0228858809398245,0.0264181354000725,0.00918748906588304,-0.0274868584534699,-0.00404172961712168,-0.0209374746046994,0.0119280424885631,0.0254539908440247,0.00689151569801281,-0.0420559891702981,0.0275886789535426,0.00533451766063996,-0.00383174443584164,-0.0312219896286324,-0.0050672201446737,0.00834626770375227,-0.0197874787415464,0.0343790150835129,-0.0248651608436426,-0.0191049512178453,-0.0137571475150982,0.00148466045302349,-0.0226720512493113,0.0291818343773212,0.04516212641854,-0.0248431611266525,0.0016515476350541,0.0103724782633234,0.00506292186504308,0.0312390506470739,0.00851781170624104,0.0421986042662006,0.0242512907971361,0.018377377282592,-0.0418856415443601,0.0142833039787965,-0.00587764065888768,-0.0316634968743928,-0.0185413215978649,-0.00205260709969801,-0.044049409727949,0.016801253606406,-0.0193548259220281,-0.00334607171938369,0.0111473081618324,0.00861119841293988,0.0239745982750112,-0.00378495527585622,0.0394134661650704,-0.0104824545538032,0.0447831775706481,0.00612511051375283,0.0562187942129044,-0.0402735055458265,0.0188605700850111,-0.0271749032845842,0.0235010939268173,-0.0013981054431718
59.01242_1.164,-0.0194417575330698,0.0162799908371143,-0.0204356842005796,-0.0357029028903203,0.0332287086627741,-0.0350828368880179,0.0313218118064171,0.0292299152978897,-0.0144438297097261,0.0209075054977162,0.0295723467397585,0.0203873497589561,0.00369689872316047,-0.003272358573759,-0.0140892017912965,0.0740668494135614,-0.00774885176698883,-0.038936598374682,-0.007033253397161,0.0205892119359092,-0.0182680740392185,-0.00853752463589575,0.0363996087260266,0.00114355803582874,0.0123736168020621,0.0203827712481045,-0.0119586229378183,0.0319365367273575,0.0341260726323051,0.0385832766154337,-0.0330487337400099,-0.0210459889851797,-0.0520668583795741,0.0113992875356331,0.00241201290751849,-0.0118332024787756,0.0292840292259285,0.0482248074076391,0.00593427307989529,0.00253595783966658,0.0153597011674308,-0.01234848147473,-0.0213120982665988,0.0032545069097669,0.0142396755802671,0.00233750234119747,0.0232196169967031,-0.0141870589689286,0.0313448482050245,-0.00920450965138542,0.0135313673592209,-0.0219878996152821,-0.0205665599705431,-0.00871791689230482,0.0103393308004927,0.0223887416172317,-0.0348691667282227,0.0481637817289298
60.99163_0.266,-0.00139674907867729,0.00452531547685292,-0.0136147499192617,-0.0509958653037486,-0.0215890950685094,-0.0443993041075568,0.0127463753254808,-0.0144070017711474,-0.0399631295064323,0.0143270018341936,-0.0454044951173605,0.0200572125110882,0.0192631926458652,-0.0105470476644058,0.0601019686344326,-0.04511279849274,-0.0237190834650535,0.0145119954530791,0.0410197908627009,0.0217360031119842,0.0425365152715198,-0.0170847827692855,0.0611582295571068,0.0187502416100093,-0.0212057857417798,-0.01732413721705,-0.0415473677825066,0.0175439602058035,-0.094602032937506,0.0262393241693803,-0.0327531634721563,-0.00107935170670123,0.00785612996121209,0.00997087219466819,-0.0147079153997367,0.00100343386631884,-0.0355744517368152,-0.0018003045022546,-0.00776038436176149,-0.0528227942439594,-0.0841193099852193,0.0145893633643902,0.00698864047744873,-0.00432767145606867,0.00583623045526549,0.00831648811136984,-0.0292866521438702,0.00942338135923331,0.0172725022525249,-0.00185964508126149,0.0355585289699019,0.0489893229879707,0.0222087791356951,-0.00728805908399503,-0.0075344723575077,0.00753118526661387,-0.00360033397492135,0.0110866313333146
68.01277_0.32,-0.000220997448870551,0.00192059117060582,-0.0158360140986178,-0.043941574237259,-0.0343043643712797,-0.0393794561701505,0.00355641217412744,-0.0191285343968077,-0.0179898059226879,0.0221492400510202,-0.0631380296118152,0.027483448115415,0.0237276288631562,0.013362594631193,0.0554336654519688,-0.0491912741594748,0.00168988300967349,0.0123746779011958,-0.00144385886917707,0.0126705533314943,0.00903480225625039,0.0146744764173081,0.0224118614481502,-0.000431819153833647,-0.0269965995965531,-0.05480188166631,-0.0187591602679733,0.00293852708763665,-0.0854979169613302,0.0425689595690218,0.00047363907682589,-0.00354802522672865,0.0447744506494608,0.0213393325982986,-0.0177203412159455,-0.00060526702363182,-0.0555307562888326,-0.0321072924596291,-0.0683193752857597,0.0113407369031107,-0.0434496293738856,-4.99502398376455e-05,0.0112004200926924,0.0122630223523586,-0.0241848888037988,-0.0388051988322846,0.0477011622943108,-0.0365365876454673,0.0342231878890123,-0.0178037176193184,0.0408939266589881,0.0853418877899293,0.0206238068856316,0.0203472843592976,0.00765470534886569,0.0456644030790329,-0.0237695055305893,-0.000686934874529068
70.99718_0.801,-0.0243080877638315,0.0384153149188502,-0.00253698708829817,0.00839805290906168,0.0199196018194404,-0.00543698998809662,0.0020581790290207,0.0107356981019483,-0.0180256383595601,0.0190825595003197,-0.019229707501851,-0.00732851433706359,-0.0284755885575077,0.0195240028947054,-0.00259623883733552,0.014442755579205,0.0174558032149967,-0.00694430327890801,-0.00660495078115252,-0.00366096176716919,0.00481583236428993,0.00279386835214199,0.017700941355967,-0.00249099179113446,-0.0101405409624513,0.00285556296521389,-0.021191132729,-0.0124540589616365,0.0230224395210323,-0.0176908501702088,0.00704092548433779,-0.0146837941617165,-0.00356537415620247,-0.0216392834292304,-0.000710044669661204,0.0112133460839703,-0.0289334093510617,0.00836704464866073,0.000361517223732484,-0.0232587632301584,-0.0021886954613514,0.00824579014421761,-0.011633386903362,0.00577585236232625,-0.00125021704482195,0.00360280803243829,0.0158543613924747,-0.0034175796566373,-0.00393462202393053,0.00866846258413496,-0.0116863292615808,-0.00494032941189732,-0.0140188184788694,0.00574067272363383,0.00812211398341325,0.0126674186647605,0.013467984092288,0.00436066326741395
71.01242_1.132,0.00594411954323843,-0.00212120750209518,-0.00651294791073219,-0.0211332163866907,0.04673832372091,-0.00740676051954052,-0.0129483116661508,0.0387618691114251,-0.0350585605074042,-0.01424805678702,0.0121344123411937,-0.00895492205533234,0.0628098949635575,-0.0102396886209312,-0.0288568320979073,0.052796600596703,0.0178381206198367,-0.0470028065662509,0.0559646657551245,0.0242776946202456,0.0125529794928945,0.0590343381524128,-0.0479452708695855,0.0792089374627665,-0.0100192623485664,-0.0416903952167852,0.0590559900865221,0.0398080221449022,0.0215576023363998,0.0370705896590636,-0.0170456144245746,0.0101261941642026,0.00356895372834965,-0.0252720563439821,0.0456767438273671,0.00924541781199703,-0.0172754519774339,0.00333606407148186,0.0221488785427218,-0.0212890310941172,0.0422871119905503,0.046813378212177,0.00858397417234918,-0.0322081575377327,-0.0488082936724074,0.0313479668593706,0.0288471239946299,-0.00627738923240929,0.0146257007873271,0.0412671188690197,-0.0314832146797182,-0.0124608953973675,-0.0116427632774958,-0.00198570313077835,-0.030720441976225,-0.0564729379129829,0.028412743463181,-0.0266477254975856
71.01244_2.155,-0.00778962593096966,0.041133381088421,-0.0204007016445922,-0.0207128352629686,-0.00506862649619965,0.00955271146355779,0.0206286690156571,-0.00323870842586763,-0.0121160870041239,0.0109493417998615,0.0145155984541729,0.0398512405632816,0.0121720662974729,0.0281945132265387,0.0292578293107361,0.0253218605360473,-0.00654184164048882,-0.0181191962334479,-0.00715724826247551,-0.0260260735973907,0.00726416766081197,0.00866204984278529,0.0100005097515686,0.0147026028127338,0.00198696554962044,-0.000257070419483502,0.00716429170740078,0.00443458892617159,-0.0322186061170522,0.00396275557233448,0.0120730867593054,0.00777164885939966,-0.0131820466602829,0.0315809791564939,0.0628338050108226,0.057622095344467,0.00859719351797481,-0.0362253313006998,-0.0342328077729308,0.0133830072986716,-0.0220821926424258,0.00354866520449134,0.0109307445815993,-0.0352417240837921,-0.0137744715450548,-0.0282807033948884,-0.00831230628503649,0.0488215467678405,-0.0033464531576979,0.00380979011418223,0.017164757022634,0.0045188761055361,0.0205377731421358,0.0251590085426416,-0.0149305479376394,0.00720109129614793,-0.00745213019026336,0.0208972502702056
72.00765_1.063,0.011422203118619,0.0198443797462375,-0.0485555497889828,-0.03462884812618,0.0427171292038485,0.0102824561062817,0.0467569209895608,0.00153002919526476,0.0140881318938145,0.0104454457919131,-0.0119913737882117,0.0464829565990496,0.0267722865285719,-0.0148018802822354,0.0103822575062194,0.0379266183652661,-0.00861079045116483,0.00248166297143976,-0.0185452295381277,-0.0381984382975966,-0.0299435612720436,0.0115762542495357,0.0258964668515836,0.0186253606028657,0.0270412305230904,0.0188417036009697,0.035598157710699,0.00428683952991169,-0.0216626446959934,-0.00412932829626116,-0.0072129242532185,-0.0070600754433535,-0.011045603784776,0.0456249100938369,0.028238838575297,-0.00772338819823176,-0.0386590092604039,0.0176133741412724,0.0187400908218462,0.00745978238524184,-0.0176626382751921,0.00330736252519632,0.0250117819966786,0.00174025593092171,-0.0130516758676336,-0.00381863443506072,0.00912818783204899,0.00663805433880888,0.0156790509538193,-0.00134986198478863,-0.00675480022360462,-0.0152999995216982,-0.0236313323301218,0.0032413991430685,-0.0220925990031606,-0.0360280611579977,0.0160997795070165,0.0192925649913551
