"mz_rt_min","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","B_36","B_37","B_38","B_39","B_40","B_41","B_42","B_43","B_44","B_45","B_46","B_47","B_48","B_49","B_50","B_51","B_52","B_53","B_54","B_55","B_56","B_57","B_58"
"57.03312_1.163",18.8307404025366,18.1845068117493,19.2542764630076,20.5251587192517,20.0817780743182,19.5345664572319,19.4291424180109,19.2270223993512,19.4454704402832,20.8336334109919,19.2676051343234,19.991628102028,20.0539406448955,19.9063122436118,19.7912618832823,19.1641923403444,18.5885687661223,19.7482007511033,20.4025562490592,18.894092035056,20.1089135134979,19.7563052151208,20.2975826231776,19.8550131979435,18.5615407191363,19.6482340715938,20.4846339452268,20.0773397767645,19.9793034736899,19.7431224591385,19.8666052033467,20.2143895940086,20.4373338419568,18.1493291682397,19.9668861236678,19.2858623389114,19.9138172770812,19.4774363822448,20.5884980110511,20.1388988500905,21.7032047115539,19.6287767824819,17.8432040837438,17.5015726453205,19.8828309067544,19.7370253891776,21.9990107062966,19.0223348453605,18.1241622667926,19.0178693552597,20.0831580885783,19.8187367123138,19.3402705147955,19.7851454488341,19.9656940598647,20.8444505304311,19.6849086098612,20.3116286260248
"57.97429_1.841",21.4489447905582,20.2082810507652,19.6671545199588,20.0048831443234,23.5587302615295,20.5910411391022,20.0430175869839,19.2953534808634,21.5236377838775,23.1168249946796,20.8359375784431,20.6996672281919,20.5844628968078,19.3962914086874,23.009497126161,19.2311163298366,18.7787282637387,20.5506219765328,21.5495451404961,21.3436735269183,23.4716287912355,19.7001595195333,19.2727916431006,24.1571512415683,20.5436527466759,20.1643507038451,18.5767949896149,22.8643056730128,23.7835759217093,22.3445137801939,25.3573176760897,25.3193120111918,24.8694401085111,21.7864329286379,23.5393898485252,21.5994816776128,20.875596171811,21.324149442634,20.6409585075806,17.6609428531532,20.212078294584,20.0376582231899,19.2807349761614,17.6712074083655,19.8561975366554,19.5612012787056,19.3349946041694,20.2160704431631,20.3515281152684,19.9250150150034,21.6739152539965,19.8204283932078,25.1340004572175,19.3442721247121,19.349852544779,19.2765360245618,19.4290832850326,19.5740571514
"59.01236_0.882",21.235810489533,20.8637262694647,21.0332932932085,18.7252746378896,18.8943895000005,19.7912200214018,19.1907537445606,20.2013353030942,18.9969483611359,20.5838644098507,18.9923778346506,20.7817328316522,18.9650579576607,18.6586544704242,19.51846203352,19.8811158839559,18.9611171393211,17.9729500705546,19.136773296016,19.3134883982224,20.1891551207677,18.7343948860068,18.8335503431426,21.426153443109,20.7692470001142,18.3183470101637,18.8988251306093,18.8551086229593,20.5401259758801,20.1466942851128,19.1334300816041,18.4979641366436,19.5242738289166,18.6981501965846,19.7758567695067,19.3611576820925,19.6960507916646,18.8847253884089,18.4271917099996,19.1081374330054,21.1682559887448,19.1555241412722,20.0810660118976,19.032038590734,18.5453401234268,20.2231024861726,18.7682545820051,19.287902517384,19.2906444627773,20.4289079897981,20.4292012824841,19.0622121698402,18.3805483852241,19.1729304411278,18.6328400169644,18.9957609443355,18.7735575417964,18.4509384340155
"59.01242_1.164",25.2585823523877,25.9435607584814,25.3432331946095,24.5383302343502,24.3377247220718,26.4534907295774,24.6380183121005,25.7092259958845,25.1778337238666,26.4711575355606,25.3921695874351,25.8923063324531,23.8792267777183,24.9948634663907,25.4362858792972,25.9255486338832,24.895535939465,25.1200182900938,23.9291829592335,24.1871040128446,25.9884562349909,25.7521493689891,25.6008525556566,26.2608110969233,25.747499615825,25.6849671437259,25.2651561147765,25.2614543266667,25.1763583771758,26.0290736010246,25.06276097556,24.9563041000409,25.5639307683996,25.1007038073171,25.6011205880417,24.0972772588006,25.6367670163955,25.2976489480275,25.0238846605293,24.8648178429014,25.7209325115564,25.5314681318142,25.2807590213783,25.2571599831628,24.6942657261217,26.1164428296654,23.8059695382912,25.8946039573645,26.025433109821,26.1463579932483,24.7719224613979,25.0287580652988,24.9243914553659,24.9137594022824,25.031877553722,25.5602223143926,25.3331261259547,25.5113433474911
"60.99163_0.266",24.6337355872599,17.0950756043034,23.8319968752861,23.8779565830569,25.2493908249916,22.8975011890197,25.1931904264331,25.5919800230441,25.2792493695921,26.0537897591283,25.8817323889273,24.0205624277463,24.9209205347413,17.6228132135683,24.6052517628754,24.7482222417811,25.7254616299297,25.8798801325998,25.0288161849669,25.3944177530907,24.9475453702079,25.5359010054697,18.0943877290855,25.6790737460395,25.6021724969811,25.3727958349109,25.7453099510986,17.417648040336,24.7679554769258,25.4632295399774,26.0316846948876,24.334480530068,25.7070110701529,24.8528879453999,25.7763406873329,17.6227165812935,17.2773104379556,25.0518173506515,17.1791417332864,25.3878986971707,25.4971269052093,17.0133745553453,25.9073340771162,17.256858090584,17.3740790334486,17.2210811490962,17.1937672213118,17.0157114517838,25.9825735526443,24.9892986842062,17.0726903711623,25.578394085601,17.538496229999,17.4080608069164,24.5923049550995,17.0988841205276,26.124081024078,24.7814931013548
"68.01277_0.32",16.3143400221257,13.7446489867662,15.4560520859078,14.5610565058692,16.4462754813726,14.7594445820368,16.8487075405536,16.4601944017509,14.894021703572,15.2164012035194,16.1693081290135,16.0797297474511,15.2663042756187,14.2862689382016,15.9900466536935,15.4781987921815,16.1494109455521,15.8781524320407,15.9049991569275,16.4879620524481,14.8467453207865,16.8679510692063,14.0919499580669,15.2703844214929,16.1847978606713,15.8434702409722,16.0074349367144,14.0672214223976,16.9152763038784,15.9948595349382,16.1722406523597,15.2776017453413,15.0934639424502,15.582135956624,14.830159121537,14.1315703356091,13.9268838205939,15.6076307292316,13.8287151157116,14.7959994919882,14.7644901034974,14.4202916194272,16.5063008958033,14.4172031125448,13.8205706473246,13.8706545320098,13.8433406040798,13.9446244555583,15.5024904575308,14.6773093406253,13.722263753665,15.3950443838608,14.9904026751145,14.4006893144704,15.3650954495416,13.7484575033409,16.0626977302093,14.2177604608687
"70.99718_0.801",20.2942883636725,19.9198263397258,19.8066823862004,18.8892767568233,18.7293970448925,20.0952793402985,19.1192110171106,20.1607004533063,18.3209281145808,20.2763464086618,18.4012146116127,20.5063177536866,18.9180871940218,19.029870070567,19.7755490692112,19.5513636396841,18.1825998803276,18.001818362902,18.3881513706072,18.5410904650508,20.2208376728734,20.13061431289,18.8511988370628,20.2453443751484,19.634789345609,18.9093522808004,18.9913307071038,18.1680142384506,17.4190378993068,19.3735863384409,17.6279008887497,17.9220114725875,19.1787784743772,18.0359752798834,19.5481561422625,18.6763058595476,19.3873803861104,18.8241905885773,18.5701439502021,17.6744331099422,20.0579694421657,19.7221914269762,19.9192443081212,19.2847404701888,18.4891118182336,19.8353126476491,19.66402056132,18.9746697269584,19.225670020988,19.551692204973,18.246322783538,19.2864944316003,18.6205397673354,18.0587528780043,19.2384055869889,19.7440098462446,18.9501583217319,19.2064784011823
"71.01242_1.132",24.9738498661177,24.5293781699328,24.1718234881689,24.8496375334148,24.8961025455742,25.4051116442225,24.8372060181823,24.552716978302,25.1472522739798,25.0814220704581,24.6950221730955,24.3070723082761,25.2331406578553,25.1223402038841,25.10253568373,24.7497106791159,24.9088018041672,24.4409035055306,25.2162089680232,24.6786700039589,24.8238939943541,24.7709542923476,25.569858378299,24.7407092408322,24.1622574764645,24.5206137694821,25.2548353630902,25.2417689271748,25.0550591852651,26.6928716874151,24.5321162652552,24.9034779163111,24.4150836485803,25.1224652225326,24.6950514523868,24.2836696766894,25.1719753747361,24.9743678896398,25.0266053550924,24.901881372962,25.9355146885841,25.2341786051103,23.9910773405928,24.9403662854085,24.7886510100209,24.8596321569856,24.20552888983,25.5854264699824,25.5965651272843,25.3954503865355,24.9646223029252,24.6767481962637,25.1549824835296,25.1430527728739,25.2809843555775,24.735815923196,24.6863903883619,24.8796823287823
"71.01244_2.155",23.5841033613074,22.9648654594426,22.7732860137987,22.811162574161,21.8044409155142,23.1683243954587,22.4637045836509,23.0704590717224,22.138075712244,23.7103057850229,22.6569790577824,22.8038664460611,22.5063200081698,21.9177642406021,23.0612217944944,23.2847898603184,21.5729458251266,21.7032078940564,22.5980963793478,22.2064741938845,22.6714596872356,22.8469597280029,21.2091087225508,23.8300694031989,22.9458918144749,22.9597373391339,21.3889127397924,20.7557970245234,21.4687983782855,22.9431311811845,21.5768204472996,21.1208544212805,21.1775518500202,21.3429230456962,21.6855095082553,21.0855494295389,22.1207044032009,21.7665863849014,21.0686060286148,21.5450724996009,22.3890950655278,21.6560770361547,21.8242902401475,22.402826750476,21.0164105678019,22.6510868396377,21.7889887987194,21.616392764428,22.0928992087601,22.570970025335,21.34738076003,21.3141279204911,22.6638558797998,22.7708963777986,21.4392351934812,22.842321040522,22.1270966148311,22.9429254356581
"72.00765_1.063",22.1207945887044,22.0220640274695,21.9364370860355,22.1651890979354,21.8845173504695,22.2326500859229,21.941802962318,21.8349767202426,21.7800314456207,22.3137411072574,22.2412179064683,21.2952365915802,21.8997401557512,21.8534988041858,21.6961132316466,22.1969816090976,21.8273611758215,21.3115379750025,21.7824953591611,21.4606320682817,21.5418455933643,21.7098582229057,21.6622712325883,22.1559344541307,21.7520733771257,22.2207457935764,21.4791805876608,21.5173824945384,21.4460254403768,21.956036452643,21.5264594130786,21.3550133409155,21.0693893448642,21.7405872220563,21.6499349997254,21.1919510677616,21.7905321735032,21.8289987454245,21.5308169758172,21.6478536835675,21.1893441213415,21.654271046999,21.6617269640206,21.6920847919379,21.5126472778324,21.505352451854,19.9194787036667,22.1678567813768,21.6702302604983,21.6666817560949,21.4650684300854,21.5475137330225,21.6345832957443,22.2512337830916,22.1975874277194,22.1445715146471,21.6342254314796,22.3004958108617
