"mz_rt_min","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_23","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","B_36","B_37","B_38","B_39","B_40","B_41","B_42","B_43","B_44","B_45","B_46","B_47","B_48","B_49","B_50","B_51","B_52","B_53","B_54","B_55","B_56","B_57","B_58"
"55.01853_1.193",24.0705951494163,23.083317964813,21.2683900866247,20.8924187859863,20.9745317155135,21.1767385582472,20.9184040237132,20.7995357742334,20.7311428685989,23.3211174078582,20.7791644511146,20.9620377417402,20.6582714888875,20.8814831390946,20.6714523294762,21.041308535382,20.395033730365,20.1358375500191,20.6894954307449,20.9886898931089,21.2459700863179,20.8756539371955,20.6563520290559,24.2818917207028,20.658145043201,20.9854650841372,20.4868383145148,20.2701235455965,20.1471520176014,20.8647766514093,20.3902973319633,21.726204927925,19.8528899599852,20.484473226007,21.3093982598149,20.504963285604,20.4725864126298,20.4732930744803,21.1071886070838,20.2521887289639,20.5936360814764,21.7117783410844,20.3936493720343,20.5550401094741,20.2439456629832,20.694398273187,21.3075522968047,20.7393344822096,20.5374707475161,20.21110239605,20.2481303943897,20.3718160372017,21.4863000725464,20.7290138010184,20.6103020139208,21.0143022307566,20.4067504759614,20.9117904700851
"55.0551_1.003",25.4930021959974,23.3771184522529,24.5638572814189,20.8975372944279,20.9718956276152,22.5514325229084,20.6926914320457,23.1194682615175,21.5750528624093,24.1549376582308,20.5558737145187,24.8534325184207,21.152456104142,20.7285462245722,24.077979847678,24.5595914564244,21.2362755496921,21.095482997441,21.2003803510665,21.3226869578984,24.3190640052883,25.2468080938794,21.5524473476048,25.4612840350636,24.6110717872343,20.8366013022375,21.446336056411,21.3436917244011,21.2799852892995,23.9327384154252,23.4041647701915,21.1879295840622,22.9004818592369,21.3519161793948,22.4683226267934,23.2164865910157,23.7954049672637,21.3255321783089,21.249662938176,21.1622812160111,24.2975594866642,23.5356964547841,23.4427485000494,23.30022040596,21.4281215887891,23.6874745762508,21.4829237447443,23.6482919018212,22.2050722666354,23.9593034372994,21.1950767180933,23.8453067353438,20.4281821671869,21.0058017730449,21.4361867678132,20.7877803313213,20.969362836474,20.8074698176181
"57.05806_1.189",20.008704850005,20.255103542985,21.1864738846727,21.0701396097481,19.9373468751659,20.9224951112458,20.4633354430132,20.826390555092,20.5421839738608,21.1181948622513,20.8783452394513,20.5121561387446,19.7487740401197,20.4132540496843,20.3761695886912,20.253127831901,20.3996180065563,19.4598212609431,20.3367334623878,21.037522088525,20.0401120531604,19.8220724590704,20.0702831114286,20.7841455882775,19.2681179002792,21.7820013513361,20.143915319423,20.2052040792975,20.015155553847,20.079871359427,19.0186830798138,19.9522192594178,19.398704761191,20.5273472456415,21.0599967537293,20.0429971933044,19.5965932821118,20.2589788013792,19.6103530195529,19.8830970187708,19.4338577141233,19.8227766816803,20.0635081350222,19.771200597876,19.8511842286005,19.9367510447827,20.7770640991882,19.3438529876119,19.6817989222062,19.9503248418536,19.4159440526326,20.2454930793797,19.8265577571779,19.9699905501288,20.7799321831891,20.7057266376374,20.290435128344,21.337047578503
"58.066_0.799",20.4608493126748,22.3265986607096,19.2257947415635,19.1113327713213,18.3535298772021,20.5605397729223,18.7545083173356,19.5489413955057,19.0726109167649,19.3696694044763,18.1122295082872,16.9102711359608,19.4906810832675,19.0575416400955,18.7730920691127,21.5767307522953,17.9574991232209,17.8825816906603,17.8238763375434,18.4043908762388,19.130403496192,19.0804093101488,18.1957152906892,20.585641261572,20.211987342908,20.2922654752965,18.0879093643935,17.2211965981097,17.64061797616,18.4095516971817,19.2279947567036,18.3092862974843,18.1793361584228,17.6199358679523,18.2547820124136,17.4287926342157,21.897515353328,18.8224899913874,18.0416566669823,19.4437997902408,19.4303022767884,19.2467466331356,18.6201955116212,18.3668089311403,17.6651680929431,18.9412793237207,18.853527480331,19.1105774664447,18.0141510037248,18.8145490735362,17.5531969620703,18.4804189897758,20.41638696925,19.8924151504435,18.6910719712326,18.0582992771767,17.6751288805069,18.3291263614868
"58.06601_1.092",27.1988092476472,24.8442283783411,25.1702251391841,23.1966338171632,23.8639414138144,24.3672223756519,23.7218691994141,25.5544077365771,23.1068854915317,25.272838347345,24.2614420780748,27.1629747392087,23.1995651103845,23.4866985106508,26.3188717027219,21.5767307522953,23.0123044517348,22.7550641971723,21.5011974072935,23.2097018805357,26.2599494457073,25.7400864041137,22.7257262688395,26.1849795416723,24.9870236137202,24.2773040148504,22.9671455532282,22.8280907227062,23.3603586605539,24.3766851548476,24.3277579623547,22.8806607791625,24.0032484442905,23.6646935997449,25.4880049210975,25.5230471347937,21.897515353328,24.7790063612939,23.5394252431832,24.0673133861719,24.844513167498,22.1246783126063,25.1115342866945,25.5188231484567,24.2874318643271,24.0079417430243,25.5325264356413,24.5399663658874,24.7297227972764,23.4707358752439,24.1724155952121,25.0778307427933,24.8930177015777,25.4966568565586,24.4824534436374,24.7710355757349,24.1604863707191,24.172281530446
"59.05_1",24.222691789957,23.345217277069,23.81275867732,23.2507170518705,22.8699769581625,22.5640563802689,22.7777801905629,23.6833432955033,22.8578008997861,23.7364882929447,22.9130985332613,23.5988013787153,22.9444876114184,22.7024586949182,23.1627303888604,24.083318052472,23.1073381198752,23.4748113031387,23.2634791130858,23.412502137744,23.3478712977549,24.606656288008,23.1546598424624,23.8846718299511,24.2184541723134,22.4330296152558,23.1112333383655,24.5706481612425,23.1100652012944,23.8675813404004,25.8027276230173,22.9372565689391,23.5848162232078,22.8560441855145,22.1272573240538,23.0594802596865,22.9394195134858,23.0376994736168,23.0127145609489,22.8885109242604,23.255884375969,25.5336132009355,22.8135079778697,23.6231484341233,22.843976599872,23.2088130330953,22.3961959293323,25.3167624801014,22.9899669390859,24.3819693666852,22.8244852637752,24.3895343217737,23.0768610251122,23.1087873283995,22.3683995703588,22.4694342068368,22.7365142425392,22.1090000817824
"60.05653_0.953",22.6144380505474,22.0720014596391,21.0342014931094,21.9406123327018,24.4286238027621,22.5229889286398,21.8011165608386,21.6931712696149,22.8898065230442,22.9490717158161,22.8140835762158,21.8677766543017,22.1323833914594,21.8015352545677,24.345945552847,19.977504601699,20.81420813587,22.4562779343604,23.4470232604379,23.2740952200902,24.7033987957653,21.2025929195756,23.1744364069024,24.9288264855674,22.58585871053,21.946189794336,20.5429629628163,24.9102714986009,25.4025168054469,24.2231289025797,26.3670096233325,26.2269519804674,25.9965401631911,24.045364577206,24.8013452493974,23.2400186242737,22.9039956066242,23.0581105987129,23.0301464855435,20.9602767029358,21.6905610769658,21.6170538637589,20.7526903345535,19.8529090329845,21.4235458531408,20.4734884989364,21.1218431725312,21.7631494371416,22.0623243271776,21.6117300081162,23.2433913406005,19.0104724718069,25.5989813200727,21.1833007592703,21.4677477212483,21.3790135368896,19.861698909137,21.2240562626266
"61.02928_0.045",26.6965650820926,27.2953252903131,26.3676557924916,26.2832426348659,26.3462519376804,26.3812050441637,26.2761860926011,27.4043882370048,26.2744482234395,25.4654128843143,26.2505548207671,25.4760920536188,25.2385247404111,26.9638791479962,26.4605204796054,24.4498159337035,26.4336734986739,25.7272225460676,26.4895071043149,24.8112983942079,24.8728703240319,26.4795267068326,27.1112111848763,26.5223900116829,25.4376486673412,26.3569319435637,26.596238644962,26.5434093257665,26.5438337866629,27.7084035730534,25.4096274379764,27.8498430770498,27.8004446222511,27.8306735772111,26.5948773870342,27.2083987451982,26.5080577499633,27.2381578950865,27.7910498485876,26.494807999313,26.502301048444,27.9221213846533,26.4713361431252,26.4692549925974,26.3112487653191,27.3245484174493,25.2811837705575,26.584339898123,27.2688382849809,25.3446824323217,26.4746104262153,25.7745419535461,26.4386763639551,26.3029539078018,26.4441234797783,27.2351557560202,28.0538584681931,25.4989941217284
"62.06094_0.929",22.7355412795364,22.6164919370654,22.722831308148,21.7555395309481,21.4418470836028,22.620182539334,21.8739009043114,22.2537729210742,22.2746008505917,22.436618042108,22.687399663493,22.0528541504903,21.2268557271737,21.3138578107952,21.9983336299067,21.6001540068113,21.6059831013635,21.9918964835437,21.6995190905821,21.7247965618655,21.9451180099429,21.5360492807723,21.8091267942299,22.5292548757556,22.4811650448697,21.8896077081981,21.699249090098,21.0733021877009,20.8030090638435,21.8691667807732,20.1285398756241,20.8445941328277,20.4763709535858,21.2237331712234,21.598124519497,22.2782831322265,21.4461036057382,21.988478989569,21.9307368662518,21.6192068307329,23.3238202160757,21.9268787715279,21.4236905271524,21.7737922213772,21.1136186407308,22.8158687310922,23.8214573993079,22.8170952171836,21.3866885832896,22.427016820679,20.8717996150166,21.698866398955,22.3632327951414,21.6604485840506,22.7453295765195,22.631063449026,20.9406794047661,22.2828328229964
"68.98293_0.809",26.197902214626,26.0553782754301,25.9104643284632,24.7574314567372,24.7090227449815,26.2846111130559,24.9597193261479,26.2665975289402,24.3609483393239,26.6934694673393,24.5628092061267,26.5469151419499,24.8177681781828,24.8666245205323,25.852941812502,25.3890373365895,24.4657207638975,23.9845428258608,24.364941664187,25.0071420463237,26.2793939623079,26.2156338239604,24.9870640471661,26.7554816741229,26.008708105236,24.7671635180058,24.8313396691788,24.3413843739526,23.7264732003384,25.4086975306901,23.7925941126267,24.0243053208557,25.1780724158864,23.8196545485696,24.9904406968507,24.3147274662998,25.3406392646063,24.8202936121484,24.5322683431655,24.3342226387435,26.3503336367815,25.8758162401262,26.0597070368782,25.3493394439219,24.6106480636455,25.8367009219411,25.8515289814235,24.7642887298124,24.6533895392415,25.6116229754287,24.3179248407432,25.3101485885736,24.5425575389401,23.7647337687856,25.1186324484979,25.8769995652494,24.7046211893196,25.1958798833019
