"mz_rt_min","calculated_mw","mz_ratio","rt_min","reference_ion","mode"
"57.03312_1.163",58.04046,57.03312,1.163,"[M-H]-1","negative"
"57.97429_1.841",58.98157,57.97429,1.841,"[M-H]-1","negative"
"59.01236_0.882",60.01975,59.01236,0.882,"[M-H]-1","negative"
"59.01242_1.164",60.01975,59.01242,1.164,"[M-H]-1","negative"
"60.99163_0.266",61.9989,60.99163,0.266,"[M-H]-1","negative"
"68.01277_0.32",69.02026,68.01277,0.32,"[M-H]-1","negative"
"70.99718_0.801",72.00456,70.99718,0.801,"[M-H]-1","negative"
"71.01242_1.132",72.01973,71.01242,1.132,"[M-H]-1","negative"
"71.01244_2.155",72.01971,71.01244,2.155,"[M-H]-1","negative"
"72.00765_1.063",73.01517,72.00765,1.063,"[M-H]-1","negative"
"73.02806_1.167",74.03548,73.02806,1.167,"[M-H]-1","negative"
"73.02809_1.809",74.03537,73.02809,1.809,"[M-H]-1","negative"
"74.00556_1.4",75.01288,74.00556,1.4,"[M-H]-1","negative"
"74.02331_1.02",75.03058,74.02331,1.02,"[M-H]-1","negative"
"75.00737_0.309",76.01464,75.00737,0.309,"[M-H]-1","negative"
"78.91748_1.463",79.92475,78.91748,1.463,"[M-H]-1","negative"
"79.95589_2.96",80.96316,79.95589,2.96,"[M-H]-1","negative"
"79.9559_1.076",80.96317,79.9559,1.076,"[M-H]-1","negative"
"79.9559_1.617",80.96317,79.9559,1.617,"[M-H]-1","negative"
"80.96372_1.604",81.971,80.96372,1.604,"[M-H]-1","negative"
"82.02844_1.591",83.03585,82.02844,1.591,"[M-H]-1","negative"
"82.95274_1.579",83.96002,82.95274,1.579,"[M-H]-1","negative"
"83.01242_1.119",84.01994,83.01242,1.119,"[M-H]-1","negative"
"85.02808_1.176",86.03543,85.02808,1.176,"[M-H]-1","negative"
"85.02809_1.009",86.03541,85.02809,1.009,"[M-H]-1","negative"
"86.02331_1.061",87.03088,86.02331,1.061,"[M-H]-1","negative"
"87.00727_1.271",88.01476,87.00727,1.271,"[M-H]-1","negative"
"87.00738_1.547",88.01473,87.00738,1.547,"[M-H]-1","negative"
"87.04374_2.541",88.05116,87.04374,2.541,"[M-H]-1","negative"
"88.039_1.061",89.04627,88.039,1.061,"[M-H]-1","negative"
"89.023_1.142",90.03031,89.023,1.142,"[M-H]-1","negative"
"89.02303_1.501",90.03031,89.02303,1.501,"[M-H]-1","negative"
"90.02643_1.269",91.0342,90.02643,1.269,"[M-H]-1","negative"
"90.96994_0.801",91.97707,90.96994,0.801,"[M-H]-1","negative"
"92.92663_1.431",93.9339,92.92663,1.431,"[M-H]-1","negative"
"93.0444_0.9",94.05169,93.0444,0.9,"[M-H]-1","negative"
"93.04444_1.171",94.05172,93.04444,1.171,"[M-H]-1","negative"
"94.02842_0.997",95.03584,94.02842,0.997,"[M-H]-1","negative"
"94.97946_1.482",95.98676,94.97946,1.482,"[M-H]-1","negative"
"94.98905_1.403",95.99669,94.98905,1.403,"[M-H]-1","negative"
"95.01253_1.176",96.01997,95.01253,1.176,"[M-H]-1","negative"
"96.95877_1.586",97.96605,96.95877,1.586,"[M-H]-1","negative"
"96.96824_1.383",97.9755,96.96824,1.383,"[M-H]-1","negative"
"98.02336_0.975",99.03078,98.02336,0.975,"[M-H]-1","negative"
"98.90544_0.832",99.91294,98.90544,0.832,"[M-H]-1","negative"
"99.00735_1.673",100.01479,99.00735,1.673,"[M-H]-1","negative"
"99.00741_1.204",100.01487,99.00741,1.204,"[M-H]-1","negative"
"99.04379_1.243",100.05122,99.04379,1.243,"[M-H]-1","negative"
"99.05503_1.024",100.06265,99.05503,1.024,"[M-H]-1","negative"
"99.92436_0.86",100.93149,99.92436,0.86,"[M-H]-1","negative"
"99.92444_0.306",100.93158,99.92444,0.306,"[M-H]-1","negative"
"100.03901_1.074",101.04655,100.03901,1.074,"[M-H]-1","negative"
"100.03905_1.683",101.0464,100.03905,1.683,"[M-H]-1","negative"
"100.03906_0.889",101.04647,100.03906,0.889,"[M-H]-1","negative"
"100.03906_1.896",101.04636,100.03906,1.896,"[M-H]-1","negative"
"100.93226_0.818",101.93946,100.93226,0.818,"[M-H]-1","negative"
"101.02306_1.185",102.03047,101.02306,1.185,"[M-H]-1","negative"
"101.02309_1.694",102.03038,101.02309,1.694,"[M-H]-1","negative"
"101.02312_2.009",102.0304,101.02312,2.009,"[M-H]-1","negative"
"102.05471_1.061",103.06198,102.05471,1.061,"[M-H]-1","negative"
"102.98739_0.8",103.99467,102.98739,0.8,"[M-H]-1","negative"
"103.00228_1.377",104.00971,103.00228,1.377,"[M-H]-1","negative"
"103.00233_1.207",104.00983,103.00233,1.207,"[M-H]-1","negative"
"103.03878_2.201",104.04606,103.03878,2.201,"[M-H]-1","negative"
"103.0388_2.207",58.0406,103.0388,2.207,"[M+FA-H]-1","negative"
"103.91884_0.315",104.92622,103.91884,0.315,"[M-H]-1","negative"
"104.03396_1.016",105.04124,104.03396,1.016,"[M-H]-1","negative"
"104.92724_0.31",105.93452,104.92724,0.31,"[M-H]-1","negative"
"104.9585_0.801",105.96578,104.9585,0.801,"[M-H]-1","negative"
"105.018_1.209",106.02527,105.018,1.209,"[M-H]-1","negative"
"105.9345_0.316",106.94174,105.9345,0.316,"[M-H]-1","negative"
"106.97936_1.403",107.98714,106.97936,1.403,"[M-H]-1","negative"
"108.0553_0.9",109.063,108.0553,0.9,"[M-H]-1","negative"
"110.02345_1.243",111.031,110.02345,1.243,"[M-H]-1","negative"
"110.9567_1.652",111.96402,110.9567,1.652,"[M-H]-1","negative"
"110.97444_1.563",111.98172,110.97444,1.563,"[M-H]-1","negative"
"111.01871_1.276",112.02599,111.01871,1.276,"[M-H]-1","negative"
"111.01872_1.539",112.02599,111.01872,1.539,"[M-H]-1","negative"
"112.03906_1.246",113.04648,112.03906,1.246,"[M-H]-1","negative"
"112.93598_1.615",113.94326,112.93598,1.615,"[M-H]-1","negative"
"113.02311_1.153",114.03048,113.02311,1.153,"[M-H]-1","negative"
"113.03415_1.022",114.04142,113.03415,1.022,"[M-H]-1","negative"
"113.0343_1.069",114.0419,113.0343,1.069,"[M-H]-1","negative"
"113.07067_1.003",114.07838,113.07067,1.003,"[M-H]-1","negative"
"113.9354_1.615",114.94268,113.9354,1.615,"[M-H]-1","negative"
"114.01838_1.06",115.02571,114.01838,1.06,"[M-H]-1","negative"
"114.0184_1.256",115.02612,114.0184,1.256,"[M-H]-1","negative"
"114.05476_1.168",115.06214,114.05476,1.168,"[M-H]-1","negative"
"114.0548_4.17",115.06244,114.0548,4.17,"[M-H]-1","negative"
"114.05493_1.017",115.06303,114.05493,1.017,"[M-H]-1","negative"
"114.98735_0.797",115.99463,114.98735,0.797,"[M-H]-1","negative"
