calculated_mw,mz_ratio,rt_min,reference_ion,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_33,A_34,A_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,B_53,B_54,B_55,B_56,B_57,B_58
61.9989,60.99163,0.266,[M-H]-1,26031147.74,140000.8057,14932960.49,15416335.98,39886323.8,7813303.307,38362420.8,50577066.38,40720427.44,69658195.24,61826945.17,17018050.32,31764688.48,201834.4917,25522242.54,28181054.13,55479891.48,61747617.34,34231381.58,44104354.08,32356346.28,48648804.12,279868.1388,53724385.71,50935652.71,43448283.16,56248447.87,175079.1841,28569163.85,46258961.42,68599023.06,21154782.69,54774879.52,30301543.45,57471393.21,201820.9732,158850.5366,34781512.88,148401.0458,43905510.86,47358725,132292.7574,62933902.78,156614.4812,169870.8798,152778.4092,149913.1301,132507.2206,66303125.89,33306459.9,137845.2827,50103014.99,190376.5464,173919.5765,25294229.46,140370.8768,73136133.62,28838506.21
100.93158,99.92444,0.306,[M-H]-1,7049603.592,64058.54983,3789156.664,669013.441,2805983.579,1627760.706,1956541.246,156570.4157,4387989.009,1457673.141,1380753.069,2238154.952,2597837.731,83370.3865,3408513.036,2838807.386,198790.7274,1513922.925,1463091.612,331891.4253,1731780.706,654606.5603,164005.0929,230645.452,1193142.686,332465.536,1092178.843,69291.48025,2892100.256,3670939.563,1142755.005,1600439.554,3476129.682,353632.6536,192508.3652,75589.20609,92069.19415,292419.7674,102257.0104,2851636.055,3201452.758,97458.48466,166801.0967,97282.5906,109358.0017,95458.65556,85465.00765,84499.87511,1632477.248,1607067.477,99237.7801,1272876.136,93425.87463,97103.84034,698563.4137,102735.5169,249761.9219,481211.1003
76.01464,75.00737,0.309,[M-H]-1,1999826.31,701166.3619,185243.4045,151894.8808,165461.0111,4133312.925,127647.0554,2064083.83,246767.2043,78876.88998,165653.2668,145128.145,124957.1364,1343715.189,163857.7605,175743.802,124770.5482,130048.8583,3048558.784,37157.15327,148064.1995,119171.3776,66395.19702,107384.2978,165249.068,102310.4155,108211.0187,877192.1114,1154620.129,130913.1828,642489.9057,111143.0477,123385.7144,366335.6191,148086.9348,1473264.891,1242446.52,2661536.208,337272.7449,161285.6631,176165.5731,1157568.487,1856187.81,606753.7682,703555.9425,804311.8937,2028140.717,851525.5927,151188.3765,1431799.402,975932.3839,159090.7105,6575438.322,945357.174,149721.447,946600.1947,153304.2754,23950792.94
105.93452,104.92724,0.31,[M-H]-1,1067185.587,267095.8641,449280.6047,433610.8691,375876.2377,229930.6969,506494.1485,236066.0851,273394.1317,564526.5127,1553976.951,319164.3544,437973.2746,257926.4124,468110.9758,268577.7752,364190.0807,401627.3741,459825.8217,918022.5942,201502.4353,377992.0601,206444.043,302066.0471,358961.2548,277659.2962,449514.4883,352418.4187,611823.4208,274353.6477,261382.2544,598489.4686,1538855.397,281354.3243,233020.8701,582079.7631,501315.1025,481032.499,584404.0616,407537.9498,279687.759,214910.8364,282645.337,501052.7687,419249.3714,350602.5883,228310.0104,365811.8586,296269.6686,448235.5536,335563.2978,323543.0161,792891.1951,106024.7272,341384.0717,177228.9778,279866.6924,317703.959
176.94816,175.94087,0.313,[M-H]-1,27363.13986,23164.02906,28252.81542,33088.27335,25453.65667,24092.541,29184.5891,57338.46166,28859.83834,31502.19589,37453.82368,23013.37222,35864.62423,18829.22087,39170.66811,31971.40924,84682.71793,53624.69377,25106.39538,54113.53957,39691.90851,45448.83532,27991.29942,37310.3901,35953.10817,50661.30318,24088.33982,22989.60639,30621.78792,22909.41146,66192.81532,50946.73235,36484.77273,39758.62837,42286.92704,18167.08795,25010.3163,25774.91377,26463.10891,29686.97338,56619.60693,30354.59684,51337.17006,23475.13731,34196.6092,37118.22028,21545.38866,30929.76135,32731.38564,53384.41783,133795.5352,44335.02314,46801.33108,18622.98259,87725.82941,35692.78186,57452.50607,57770.93441
327.83758,326.83029,0.313,[M-H]-1,177078.6825,112752.9665,259036.2634,653619.3022,234096.7213,101497.3391,419358.3014,163616.0035,270513.7089,487901.4678,605975.6084,343375.7448,576318.9828,162856.5526,122789.1642,171432.4138,552926.1379,381576.6142,249706.9425,727644.0215,442866.0413,695344.753,132045.9529,367063.7031,372524.8478,748871.2189,697146.1516,172417.3566,430060.2817,351984.1125,241363.4702,866261.0173,405581.7967,293483.0935,229794.6263,99611.12839,117709.3618,114132.0664,95976.1253,236117.0311,200858.1035,65978.92127,330374.0482,99727.87771,80690.26249,64399.1303,107793.5125,84691.50421,321213.2083,235816.9273,63341.28729,366515.6063,200369.2891,125790.2335,281182.4816,69312.56525,244866.7653,254940.1848
117.93444,116.92725,0.314,[M-H]-1,3237648.947,431152.8482,462385.6035,456208.3258,364574.5509,501885.9556,832114.06,287698.7697,435966.8989,370337.7638,333002.4529,431136.1941,511027.069,219726.4044,1044697.614,1360574.453,553307.6252,657042.2864,614061.3541,713239.556,293880.3849,320757.6747,463131.9155,654091.9803,337305.1914,426705.1666,259617.7799,487693.7747,409555.5816,220043.6772,433502.2412,298680.5657,420870.9921,744410.6446,392592.9497,379995.3137,452571.1972,586052.6534,572031.7683,530556.6308,581222.5916,478670.7046,245351.8905,411648.5525,443869.7639,46808822.94,483937.7538,414796.1612,429544.5289,409384.5189,503376.7583,473318.308,515753.1034,355349.3775,3369734.361,458657.5935,409331.9658,748305.2057
295.87634,294.86913,0.314,[M-H]-1,88174.72436,45835.07233,64027.50155,137842.9426,72538.75046,49625.59013,102358.5858,88995.11038,131896.8479,233333.7077,192297.3984,110982.1515,124836.7984,14189.51998,67520.88403,55188.84631,168098.7899,127635.411,92940.67253,22374.71379,93157.39299,131194.7273,48208.26357,86346.66925,78965.25271,159100.6101,176919.7477,20391.11194,146274.3869,50905.86067,124601.1138,174116.421,76001.45536,9990.612555,112243.0292,32639.699,60574.85967,51257.57627,13270.31016,83853.92993,96763.74437,30214.96104,97537.54717,48762.71529,9834.183842,37095.62933,11686.86966,39883.45758,112025.9702,109170.0472,30918.42729,94169.96508,65079.9202,45657.38382,137303.2282,59024.74133,102055.2859,88530.72853
306.86777,305.8605,0.314,[M-H]-1,373967.9455,105217.3129,374740.9371,547414.2383,430189.6592,174929.503,446804.1539,324426.4541,373875.4757,1034806.172,730337.7689,64125.91068,556118.8186,222824.2932,157215.9968,145976.7583,662027.2051,562439.1542,390261.5966,898501.5398,523011.745,1197201.31,189050.9223,371062.5691,776729.4407,1060033.747,1167332.115,288865.9611,848603.4412,464016.5053,443528.3485,1152090.155,660902.578,331746.0225,395816.7495,135788.9124,182797.7694,291192.243,44497.77883,433748.0699,435690.1852,129359.7464,433552.2429,161240.3834,148337.0619,130485.2424,46738.75924,113745.6626,458778.6592,393245.5909,119943.8429,595480.4486,301408.1728,195120.8782,322913.7609,120311.5691,548466.4517,358542.0937
337.86623,336.85895,0.314,[M-H]-1,4933207.393,1447604.091,3292938.958,7375929.37,3952949.735,2126078.68,4602283.39,3169776.302,5124395.342,12517457.98,9895361.61,3984227.653,6650652.358,2240714.973,2142042.694,2974981.219,8809911.576,5201991.042,3285178.697,9103173.176,6101865.595,12273644.33,2274442.015,4441520.46,8061894.43,16771199.84,15380557.64,3066420.842,10679106.15,4137832.908,6106806.885,13921031.89,7535238.626,3388965.229,5793394.075,1560490.864,2127551.479,2876914.136,1728905.397,5133252.008,5253124.823,1512482.785,6896680.378,1820297.86,1697039.168,1524638.928,1592129.532,1298309.89,5826881.257,3583713.562,1255099.392,6578935.343,3158629.738,2206461.344,3849656.92,1319987.561,7098611.178,3819066.456
