calculated_mw,mz_ratio,rt_min,reference_ion,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_33,A_34,A_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,B_53,B_54,B_55,B_56,B_57,B_58
60.02201,61.02928,0.045,[M+H]+1,108759417,164706847.1,86587521.58,81666588.96,85312389.57,87404549.77,81268114.82,177640862.1,81170278.26,46329021.76,79837035.77,46673232.51,39587036.65,130899028.4,92344357.77,22915428.6,90641820.32,55547650.14,94218504.98,29440490.95,30724161.96,93568961.58,144973220.1,96390659.17,45445958.55,85946284.9,101453165.9,97805301.06,97834080.97,219311097.1,44571786.08,241901265.7,233758668.1,238708314.5,101357484.7,155075845,95437819.77,158307887.3,232241386.4,94565328.85,95057758.6,254329114.6,93039250.76,92905134.34,83267418.71,168077156.3,40775063.01,100619863.6,161710518.9,42609814.42,93250648.73,57399783.26,90956686.57,82790041.6,91300756.59,157978803.1,278646051.3,47420058.99
133.95145,134.95881,0.327,[M+H]+1,671063.3204,789983.6616,953736.6293,875980.9827,1016218.804,1052492.497,886575.921,1228779.56,1409479.128,1086882.325,1222327.997,1412490.352,1528454.833,1554244.196,1397577.684,1581260.617,1426880.38,1208515.786,1321413.362,1233644.824,1494712.607,1401563.042,1816593.334,1612662.766,1378795.266,1786868.56,1029175.859,1450694.564,1713389.614,1556943.18,962152.6159,1729031.946,1497262.055,2100679.546,1677418.96,1049161.097,1479722.716,1468646.883,2143850.147,1233430.299,1137748.085,1011644.698,1812891.102,856370.8627,1748794.491,1187943.518,1456984.495,1945843.28,1066605.52,1466111.154,1611974.207,1227089.467,2255974.752,2043586.536,1475807.328,2091115.648,1001074.755,2246692.474
119.93578,152.96926,0.327,[M+H+MeOH]+1,1365943.046,1178735.874,1113204.959,1716405.481,1410506.088,1270528.301,1390921.176,1665069.317,1953829.331,1755498.108,1631011.818,1979676.961,1658756.302,1393409.37,2163890.473,1670933.43,2240941.596,1235987.512,1880634.861,2025161.705,3138594.092,1938452.004,3278734.075,1645014.023,1771651.16,4046722.464,961491.2165,1416753.78,2663419.383,1901324.97,1207782.718,1558622.783,1933282.864,827411.7156,1961844.813,627708.9795,2246035.551,1458170.605,1658026.462,1280668.613,1623524.844,915167.0804,864537.5786,1522780.169,2749359.295,2183216.14,2326503.026,932512.7409,1814525.422,5217669.345,1307729.522,1015414.866,1270011.343,1187207.212,6133597.923,2330319.1,2144175.096,1287124.182
116.97251,117.97979,0.329,[M+H]+1,168707.5322,958053.6184,208849.6094,281002.8928,262176.095,480809.4711,256974.701,371840.3293,727646.5978,295114.6921,570229.9191,264467.3307,467043.8605,419815.8935,389792.71,880731.7117,392441.1296,402243.1407,463711.3476,342779.8753,544930.5805,320090.0645,489278.8173,347503.9192,241546.9857,361329.5447,91493.25868,535094.0214,478325.677,473083.4554,305151.8306,183406.5236,252407.2613,119720.3915,418048.4763,193102.7057,96294.85237,203859.7753,207190.4245,443703.5043,472806.8324,706505.1405,248027.1487,204913.046,143067.3283,233170.2123,314214.9907,146308.5138,124303.9212,142201.6775,308885.9641,595269.7795,293980.815,506663.9243,847073.6533,290567.258,276658.0012,678908.7373
144.95937,145.96666,0.33,[M+H]+1,2476160.41,2724157.303,2457667.133,1865117.202,1879067.115,1759334.138,1728260.966,2917691.185,1968483.398,3150397.942,3183136.356,3087842.746,3113421.876,2502683.336,1984670.18,2695509.119,3893732.883,4274076.164,3470526.321,2139813.217,2968843.556,2034890.37,3146708.159,2475556.367,2973134.341,3175879.417,4530271.98,3073771.781,2791008.132,6315272.034,6205784.199,4138160.78,3491234.043,5336374.438,3685150.122,2422960.086,4752602.754,5689674.856,6965694.753,7825916.389,7105408.764,5316135.796,4960592.805,5999194.572,8437777.728,5585900.774,4004031.111,6241092.988,7425226.644,6481665.918,4696662.085,5696149.421,5400582.774,5306601.891,4199974.34,5359702.379,4936384.218,6648695.399
158.93872,159.94634,0.33,[M+H]+1,547966.078,629870.4205,669123.6872,1422777.933,1526403.607,863395.9013,558459.8628,693489.6843,557498.8423,2575815.146,1385436.762,642942.0894,848793.189,1528202.46,896293.3303,821331.9283,910764.7523,923845.8639,837793.4681,857814.2132,851867.2494,1959127.119,1323985.596,1528638.462,866575.6343,1034263.692,3024099.33,599679.3044,1413369.944,3062814.788,741488.5553,2201024.795,3283639.331,3356067.242,1686703.163,3442993.062,3432081.401,3291475.118,3760338.94,4020413.57,3427208.8,3694678.259,3519936.124,3461790.468,3927119.39,3358779.882,3201226.305,3528852.887,3710266.752,3754025.13,3416629.873,3885662.031,1077967.552,4176566.213,632298.2107,3749298.912,3552427.796,3945537.167
158.97495,159.98227,0.33,[M+H]+1,390395.4165,228145.9754,628692.8592,702472.7888,788212.8621,563948.0185,110836.3342,599746.8653,166059.1431,881628.6057,790623.3397,755368.5597,1056874.503,634381.0857,1376924.636,735438.157,1153578.782,1348900.466,156580.1485,858297.7271,1070024.358,863031.7342,1057973.789,1307938.841,1489087.609,707365.279,677462.5417,1396676.965,809001.1104,1562654.04,703559.6448,1424412.666,1489112.283,1933174.378,922840.8768,1826834.595,1512010.018,507708.4268,2538516.402,1767735.814,1551167.632,2202673.183,1425653.329,1978538.576,1822543.224,1634574.977,1756544.726,1938877.835,1737528.886,1780385.989,1720771.172,2458125.417,1497795.914,1523614.321,2011543.506,1814991.556,1685240.379,1601220.001
126.94885,127.9562,0.334,[M+H]+1,636027.9759,894835.5744,1137324.531,1729662.288,1024163.973,1496226.013,1928793.165,1233808.756,1377648.529,1790181.393,1914818.192,1599190.015,1809731.108,1368690.221,1858892.418,1827619.144,1804333.704,1643838.564,1746593.026,1570184.412,1028208.308,1772858.702,1705479.617,1791898.029,1956573.345,1717900.911,2061240.008,1920040.79,1506298.085,3075147.249,3140320.549,2036370.28,2665030.821,1961889.358,2788658.993,3824855.805,3492197.567,3538774.342,4392938.426,4304555.491,3887026.844,2847930.957,2859411.622,3218550.48,4891672.712,2781670.309,2287430.106,3194020.88,4310060.76,3050655.36,1640970.455,4323311.386,4477840.45,4585175.967,4060993.977,3739510.976,3141902.74,4516548.381
222.93663,223.94396,0.337,[M+H]+1,301847.665,254348.2465,510830.1075,247051.661,181702.7112,338402.7203,278436.0693,336749.7998,393400.1343,201159.6591,409731.5655,380053.5806,789655.5194,290468.1996,258036.2184,347975.968,751293.8238,461837.6501,365632.2529,337190.5966,742307.5274,257850.4829,740561.9923,736779.9242,205707.0506,529578.8449,305020.7341,203494.8601,280733.0886,225896.2963,321580.1607,743033.5051,1184726.175,334704.5192,709718.0917,408586.169,235187.6584,1269468.207,296214.2117,445499.8142,735390.4931,743993.0551,603378.9307,1048471.975,387198.0254,1437226.183,195066.8096,335307.4428,597352.6254,452348.8657,394022.4229,1390960.539,301125.2019,206297.5813,1548231.326,500878.2879,307760.2496,330564.8179
279.89706,280.90438,0.337,[M+H]+1,246761.2324,185761.7793,293905.5726,333254.4942,316806.8589,99242.06013,295295.8531,237355.7304,128465.6146,95803.69576,506880.8721,392003.7515,480986.0908,238690.0277,346279.2083,279387.7803,345788.6029,506921.2109,379622.718,378069.0444,303454.8072,506737.4002,483574.4052,538162.7158,420654.7565,389309.9154,228671.3872,200133.0066,292325.4954,370108.9189,487304.8487,715985.7652,583944.4929,449469.1911,258616.6368,721363.0001,670989.738,611767.0587,472383.0247,1098546.011,934145.6222,473726.0009,1428053.623,1136421.698,1030323.033,474231.5131,650506.717,730606.7517,604111.0784,842698.6078,566363.8643,907136.1184,769519.4029,2700398.95,2682772.933,837225.7601,2329917.951,2843805.697
