"sample","mode","treatment","is_outlier","group_dist","Q1","Q3","IQR","upper_bound","PC1","PC2","cohort","centroid_PC1","centroid_PC2"
"A_01","neg","tr1+tr2",FALSE,28.8582199629315,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-19.6994926579553,-33.0955640130618,"A",-23.5502977401431,-4.49542136222992
"A_02","neg","tr2",FALSE,26.9459656336227,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-20.5739921987805,-22.5838010573116,"A",-23.3656610042713,4.2171625300079
"A_03","neg","tr2",FALSE,29.1160925626567,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-24.3031254056989,-24.8838341301281,"A",-23.3656610042713,4.2171625300079
"A_04","neg","tr1",FALSE,12.7093171550657,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,28.0847450793541,-11.2610075579628,"A",25.185380795068,1.11317642705421
"A_05","neg","tr1",FALSE,5.66788441367386,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,28.7729697683367,-3.27477515490834,"A",25.185380795068,1.11317642705421
"A_06","neg","tr2",FALSE,24.1073769310699,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-3.09346636531752,-8.82905328213697,"A",-23.3656610042713,4.2171625300079
"A_07","neg","tr1",FALSE,7.47278404524744,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,26.9176242242104,-6.15606246633054,"A",25.185380795068,1.11317642705421
"A_08","neg","tr2",FALSE,3.60135269264599,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-25.9814283493454,1.74178328365547,"A",-23.3656610042713,4.2171625300079
"A_09","neg","tr1",FALSE,10.2752756117704,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,30.3143699403475,-7.79046098949913,"A",25.185380795068,1.11317642705421
"A_10","neg","tr1+tr2",FALSE,18.5597259665688,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-15.5635655416406,-21.2487952535848,"A",-23.5502977401431,-4.49542136222992
"A_11","neg","tr1",FALSE,8.45344643127237,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,19.2702576678571,7.15238787858714,"A",25.185380795068,1.11317642705421
"A_12","neg","tr1+tr2",FALSE,12.1294371553076,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-32.184418273283,-13.0145297852851,"A",-23.5502977401431,-4.49542136222992
"A_13","neg","control",FALSE,5.53850823517639,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,22.7103218310689,4.80616841897742,"A",25.0949061979383,-0.192714543085091
"A_14","neg","control",FALSE,10.0231926526473,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,29.7325699611197,-9.07845963124488,"A",25.0949061979383,-0.192714543085091
"A_15","neg","tr1+tr2",FALSE,11.1773997129608,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-34.4981562809593,-2.24183361963487,"A",-23.5502977401431,-4.49542136222992
"A_16","neg","tr2",FALSE,15.8678824382851,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-28.8911117722956,19.0919427598256,"A",-23.3656610042713,4.2171625300079
"A_17","neg","tr1",FALSE,6.68717089252834,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,22.1815005677927,7.08770219284205,"A",25.185380795068,1.11317642705421
"A_18","neg","tr1",FALSE,14.8785236602719,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,17.8893902079006,14.0800182808455,"A",25.185380795068,1.11317642705421
"A_19","neg","tr1",FALSE,8.13973873427513,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,29.7750596398164,-5.60918883855938,"A",25.185380795068,1.11317642705421
"A_20","neg","control",FALSE,10.0319709103567,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,29.2725723689748,-9.31343522237467,"A",25.0949061979383,-0.192714543085091
"A_21","neg","tr1+tr2",FALSE,9.09249411009836,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-29.945606280564,-10.9586618664193,"A",-23.5502977401431,-4.49542136222992
"A_22","neg","tr1+tr2",FALSE,5.29112082552338,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-28.5809461162008,-2.85574563003295,"A",-23.5502977401431,-4.49542136222992
"A_23","neg","control",FALSE,7.88718876600627,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,21.0430025105235,6.57410325692477,"A",25.0949061979383,-0.192714543085091
"A_24","neg","tr1+tr2",FALSE,25.9300406490234,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-23.0528614597854,-30.4206902172869,"A",-23.5502977401431,-4.49542136222992
"A_25","neg","tr2",FALSE,16.060806580781,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-26.3823707074519,-11.5577850322502,"A",-23.3656610042713,4.2171625300079
"A_26","neg","tr1",FALSE,15.2477020819519,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,28.8807380161795,-13.6799555533054,"A",25.185380795068,1.11317642705421
"A_27","neg","tr1",FALSE,3.85939551556632,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,26.4116576094234,-2.54621955044643,"A",25.185380795068,1.11317642705421
"A_28","neg","control",FALSE,14.915688323802,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,18.3870167309562,13.1295216457668,"A",25.0949061979383,-0.192714543085091
"A_29","neg","control",FALSE,14.676842761827,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,20.3329809863937,13.6901447349977,"A",25.0949061979383,-0.192714543085091
"A_30","neg","tr1+tr2",FALSE,6.26741316333743,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-24.3330232975209,1.72292314911737,"A",-23.5502977401431,-4.49542136222992
"A_31","neg","tr1+tr2",FALSE,33.6241625212535,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-24.7618755160673,29.106905708206,"A",-23.5502977401431,-4.49542136222992
