"mz_rt_min","tr1_vs_ctrl","tr2_vs_ctrl","tr2_tr1_vs_ctrl","tr2_vs_tr1","AveExpr","F","p","p_adj_BH"
"189.02933_5.978",-0.447243629390225,5.1118276670683,4.85602178818045,5.55907129645853,20.6250351856648,230.660915011457,1.97366695017175e-32,2.95852675830745e-29
"254.013_6.42",5.19722834374911,-0.708177288712084,4.72747646320943,-5.9054056324612,21.3269106950074,223.505409426776,4.61815794492179e-32,3.46130937971889e-29
"163.47189_1.727",0.12382554833533,-4.47246443091682,-4.58069694148456,-4.59628997925215,21.0624368587936,192.128207768288,2.64857750784843e-30,1.32340589475493e-27
"175.01353_3.701",-0.299898022072235,4.69196862998341,4.06024684366821,4.99186665205565,19.8675176753854,173.607792768719,3.86937717248507e-29,1.45004909538878e-26
"321.1455_5.625",0.253852709683299,-3.37457075206519,-3.96577302760185,-3.62842346174848,19.3392340351511,171.41866335591,5.40266343044406e-29,1.61971849644713e-26
"593.33337_7.358",0.0245955570433347,-4.77750224600122,-5.40548990990064,-4.80209780304455,19.1881602711971,170.084430520077,6.63403909444063e-29,1.65740410042775e-26
"261.02937_5.983",-0.307726987259894,4.66792265881772,4.43544198261725,4.97564964607761,20.3618016181482,167.417409427444,1.0044159990355e-28,2.15088511793459e-26
"261.16117_6.895",0.169713841580534,-3.21542106237884,-3.65538942533831,-3.38513490395938,18.727340633669,165.698415385891,1.31638118915305e-28,2.46656925317552e-26
"261.16106_6.887",0.169713841580534,-3.12972557542053,-3.56984574932541,-3.29943941700106,18.7716240066625,163.203488756336,1.95804486692066e-28,3.26123250612675e-26
"231.03883_6.887",0.183602662303966,-4.58596580814521,-5.07189881130911,-4.76956847044918,20.0887534360906,158.30136574691,4.34101308436423e-28,6.50717861346198e-26
"131.07024_5.953",-0.178213224004159,4.22330179835941,4.0720202577696,4.40151502236357,26.8906465916903,150.497317513196,1.6149585597506e-27,2.2007480736965e-25
