"mz_rt_min","tr1_vs_ctrl","tr2_vs_ctrl","tr2_tr1_vs_ctrl","tr2_vs_tr1","AveExpr","F","P.Value","adj.P.Val"
"321.18133_7.82",0.270806310023531,-4.15239679046201,-4.545404021797,-4.42320310048555,21.6310131669308,249.84568700488,2.5045621857157e-33,3.99728124840225e-30
"327.23224_8.287",-0.127233024301128,-3.95359761767748,-4.54355034855378,-3.82636459337635,22.2367826035453,179.168549697003,1.83235848765997e-29,1.46222207315266e-26
"235.04886_6.023",-0.480823115537951,4.65046115597618,4.50767539912235,5.13128427151414,22.2027599318189,166.088535031566,1.34093469737377e-28,7.13377259002843e-26
"607.31335_7.231",0.0795710342059749,-3.42140606254729,-3.6741506355879,-3.50097709675327,20.8232677682929,158.331311057376,4.66922383331319e-28,1.86302030949196e-25
"528.78295_7.234",0.889984294043988,-4.10954995299674,-4.27511117898825,-4.99953424704073,20.6803067293296,152.250566814778,1.29041761154051e-27,4.06729029273874e-25
"437.12679_1.118",-0.18373796735005,-3.50147526168943,-3.22058972876831,-3.31773729433938,22.0371892016958,151.255958198873,1.5290565010296e-27,4.06729029273874e-25
"595.34828_7.383",0.0499842818178097,-6.031097505057,-6.74233168817912,-6.0810817868748,21.6045568363235,142.42028660878,7.2199246672631e-27,1.64614282413599e-24
"307.16574_7.271",0.183597397397418,-3.8318968017392,-4.47829101943262,-4.01549419913662,21.8444225267464,139.128891821642,1.31543404107844e-26,2.36639867283642e-24
"224.07966_0.958",-0.168701151751184,-2.98020003703322,-3.20842860295537,-2.81149888528204,19.2828759221855,139.051028857742,1.33443534182505e-26,2.36639867283642e-24
"189.0523_6.622",-0.213505934923791,4.44469423424038,3.98806476237319,4.65820016916417,21.3692085119035,132.481501211212,4.59312373351385e-26,7.3306254786881e-24
"323.16123_5.624",0.129944422093326,-3.69564596392485,-4.27973316859244,-3.82559038601818,21.0759826594993,131.071509274122,6.03024254908596e-26,8.74933373485562e-24
"463.02664_0.901",0.125991673858011,-3.14327367443848,-3.53176024548699,-3.26926534829649,20.7158368364851,129.267296595798,8.57505335728643e-26,1.1404820965191e-23
