"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"189.02933_5.978",4.85602178818045,20.6250351856648,17.5994599354021,4.38860446482751e-25,6.57851809277644e-22,46.7098623870289
"163.47189_1.727",-4.58069694148456,21.0624368587936,-17.1899881765287,1.40092458221291e-24,1.04999297436857e-21,45.5779558206162
"593.33337_7.358",-5.40548990990064,19.1881602711971,-17.041898494422,2.14154154947579e-24,1.07005692755474e-21,45.1637149007424
"321.1455_5.625",-3.96577302760185,19.3392340351511,-16.7968441201801,4.34599371564288e-24,1.62866114493717e-21,44.4724812110817
"261.16117_6.895",-3.65538942533831,18.727340633669,-16.4794765794124,1.09797425172547e-23,2.75747095099937e-21,43.5664835038557
"254.013_6.42",4.72747646320943,21.3269106950074,16.4776992033057,1.10372419653077e-23,2.75747095099937e-21,43.561375010335
"261.16106_6.887",-3.56984574932541,18.7716240066625,-16.3648872593865,1.53874117905525e-23,3.2951043248626e-21,43.2363407531675
"231.03883_6.887",-5.07189881130911,20.0887534360906,-16.0297922473611,4.16511992655033e-23,7.80439346237367e-21,42.2616006291333
"323.16203_6.887",-4.76539300936024,19.3520219574843,-15.5020903471463,2.05314278122928e-22,3.41962336562522e-20,40.6981255297479
"164.03775_1.129",3.54825417492061,26.047516842559,15.2408232114959,4.57963248591664e-22,6.86486909638905e-20,39.9109690920762
"261.02937_5.983",4.43544198261725,20.3618016181482,15.167642154898,5.74209369512521e-22,7.82490768090244e-20,39.6889180249604
"408.1626_0.996",6.13521852304013,20.4032050437182,14.8484140709941,1.5522389885335e-21,1.93900520317642e-19,38.7122113007432
"431.96423_1.711",-3.7071808681501,19.5216780420184,-14.8196909591762,1.69858435289464e-21,1.95859841922236e-19,38.6236827804617
"175.01353_3.701",4.06024684366821,19.8675176753854,14.6787960241858,2.64648453000809e-21,2.72029549716157e-19,38.187869709513
"131.07024_5.953",4.0720202577696,26.8906465916903,14.6698702864695,2.72211023731979e-21,2.72029549716157e-19,38.1601736193587
"422.17838_0.999",6.10858631313196,20.8413751678793,14.6001536741214,3.39335595047014e-21,3.17915035609671e-19,37.9434884819112
"131.07024_5.987",4.063342445945,26.882524142663,14.0908817636905,1.72952232361951e-20,1.52503174300332e-18,36.3412744955974
"434.21454_1.25",4.28155636011386,19.774997819518,13.9168590012454,3.04005554588815e-20,2.53169070182574e-18,35.7859378905056
"588.89797_0.906",-5.62081091493363,20.0307362547914,-13.7645931842704,4.99556524282573e-20,3.94123805210303e-18,35.2967375870582
"307.10383_1.224",-2.75637926714592,20.95075637685,-13.6919684507639,6.33751335524052e-20,4.74996625975277e-18,35.0623237944165
"216.04864_5.969",4.04487590759005,20.4043770839822,13.658153687151,7.08161223328554e-20,5.05492225604525e-18,34.9529392428912
"303.13343_6.99",-4.03280512992475,19.1536490858532,-13.5851582750657,9.00380005043726e-20,5.99737411965961e-18,34.7162938866955
"172.09717_5.304",3.26363267284508,20.081742898654,13.5785463811195,9.20210838907078e-20,5.99737411965961e-18,34.6948236269295
"206.08177_6.836",3.94667064536321,22.0570909503272,13.4655168831106,1.33661562931198e-19,8.02286840389652e-18,34.3268920215636
"621.01035_0.897",-4.097335984656,19.3317940660607,-13.4651958245505,1.33803675848841e-19,8.02286840389652e-18,34.3258444942853
"473.07063_1.551",-3.66217890250575,20.6992008512401,-13.4470403679852,1.42093808612083e-19,8.19225458113509e-18,34.2665858067345
"509.21013_1.008",4.6625897567679,19.2516858767607,13.2529284890397,2.70926110005992e-19,1.50414162555179e-17,33.6302674270639
"389.05192_5.062",-3.6902363777317,19.0312075152176,-13.214117419292,3.08419339275985e-19,1.65114496276679e-17,33.5024384688923
"117.05447_3.687",3.68512893645823,25.4783236675422,13.130665199645,4.07815218765957e-19,2.10798280320748e-17,33.2268986159707
"672.85986_0.919",-3.99994413774375,19.127224222343,-13.0233543280604,5.84846204021224e-19,2.919594770685e-17,32.8712192570708
"249.03809_4.287",4.14289246430079,20.156938141675,13.0128749477284,6.0585217008048e-19,2.919594770685e-17,32.8364033858699
"353.10842_1.183",-2.4203989055718,20.0551981604844,-13.0044642083886,6.23262392674583e-19,2.919594770685e-17,32.808449625893
"117.05442_3.687",3.68423770282318,25.4582028883276,12.9564505684948,7.32802102849991e-19,3.32869803688526e-17,32.6486921144966
"215.47775_1.712",-3.06034189182815,19.574465911912,-12.8873370938589,9.25611917754713e-19,4.08085960210093e-17,32.4181895868224
"392.16773_1.011",4.75199626893448,20.346765138949,12.8315687897073,1.11809284973011e-18,4.68587678301927e-17,32.2317316661792
"147.04414_6.585",4.47270490495397,20.7604201684269,12.829658308496,1.1253606683702e-18,4.68587678301927e-17,32.2253367616102
"475.08782_1.589",-4.4513723372123,20.274450461899,-12.6565850548565,2.02790587143469e-18,8.21575919265027e-17,31.6440012511054
"389.13245_6.972",-3.51406938542485,18.6613389478432,-12.6129848697671,2.35364206561724e-18,9.28449856936908e-17,31.4969257357052
"199.05841_5.97",6.18563380602713,21.9462436247754,12.4321357748009,4.37731742520303e-18,1.6824612359947e-16,30.884184181747
"152.07069_6.888",-2.57861761358736,18.3130868652266,-12.2951030405264,7.02422367278747e-18,2.6323278213771e-16,30.4170222140697
"233.04286_6.576",4.62888093469789,20.6679629410166,12.1697972073777,1.084731189497e-17,3.96588305623415e-16,29.9876766918043
"413.13011_1.127",-2.27268560740626,21.4752781281307,-12.0850693348641,1.4568761980319e-17,5.1996605258329e-16,29.6962005641441
"520.91031_0.907",-5.52422799445505,20.8939871379999,-12.0401939362252,1.7038455613199e-17,5.93968487539193e-16,29.5414427346341
"324.09373_1.332",4.76439442281691,21.9805681637499,11.8442052188719,3.3864318546318e-17,1.15369576138479e-15,28.8624831254854
"329.05508_1.45",-3.23649302228362,20.1425541656598,-11.8197934168504,3.69017102764207e-17,1.2151122088944e-15,28.7775652312849
"432.21011_0.995",4.55390593543445,19.7898096971946,11.8109404239248,3.80700074862245e-17,1.2151122088944e-15,28.7467505617693
"237.09799_1.215",-2.35820448721642,20.2286883810843,-11.8107248659343,3.80989151554614e-17,1.2151122088944e-15,28.7460001415613
"305.15051_7.256",-4.92192026796985,21.185129571012,-11.7978169380375,3.98709876466761e-17,1.24513771838266e-15,28.7010529561731
"230.1029_5.959",3.90594556257349,19.3827120775788,11.7706515270029,4.38772850742319e-17,1.34228674135252e-15,28.6063890868322
"165.05485_6.588",3.58189940980175,24.681722090983,11.7531296739092,4.66747704399105e-17,1.39930961778852e-15,28.5452799091116
