"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"321.18133_7.82",-4.55729980590852,21.6874198641479,-19.797718330678,1.20840685018031e-27,1.81019346157011e-24,52.4776410832747
"327.23224_8.287",-4.55544613266528,22.2931893007623,-17.9328697289864,1.77728497426217e-25,1.33118644572237e-22,47.621926592613
"607.31335_7.231",-3.68604641969943,20.87967446551,-15.7907641437981,8.74144948711624e-23,3.71319002488285e-20,41.5530518992975
"224.07966_0.958",-3.22032438706702,19.3392826194024,-15.7490519822886,9.91506014654967e-23,3.71319002488285e-20,41.4293221524704
"595.34828_7.383",-6.75422747229074,21.6609635335405,-15.4770737005435,2.26603702360327e-22,6.78904692271539e-20,40.6171805074745
"307.16574_7.271",-4.49018680354414,21.9008292239635,-15.3988511277322,2.8789182679694e-22,7.18769927569693e-20,40.3818683141262
"345.24265_8.275",-5.47570131763675,22.9634890405876,-15.1534334256819,6.13066357851097e-22,1.2873588017753e-19,39.6385263386587
"259.06407_0.9",-4.19527927106614,21.0270481908498,-15.0813820234,7.6646884108869e-22,1.2873588017753e-19,39.4188253064879
"437.12679_1.118",-3.23248551287979,22.0935958989129,-15.0784624744566,7.73446543122679e-22,1.2873588017753e-19,39.4099088681321
"235.04886_6.023",4.49577961501098,22.259166629036,15.0171793987648,9.35729612432728e-22,1.40172295942423e-19,39.222494174949
"323.16123_5.624",-4.29162895270398,21.1323893567163,-14.8766068060045,1.4509651206952e-21,1.97595068254674e-19,38.7907670799382
"463.02664_0.901",-3.54365602959853,20.7722435337021,-14.6578548969606,2.88557605271777e-21,3.60216077247601e-19,38.1138431795453
"395.03908_0.902",-3.39687226171959,20.8754875614701,-14.540071569297,4.1886062941772e-21,4.82656325282881e-19,37.7467856197659
"182.08135_7.413",-3.92587328866842,21.5435115244406,-14.3079490755634,8.77453876936234e-21,9.3887564832177e-19,37.0180938211521
"528.78295_7.234",-4.28700696309983,20.7367134265466,-14.0010409554832,2.3571290738767e-20,2.35398623511153e-18,36.0437633201109
"424.19273_0.98",5.09968791787428,20.2935774079635,13.8703065843064,3.60387499970943e-20,3.37412796847795e-18,35.6249511491768
"170.09203_0.933",4.87182175497514,21.2203040086185,13.5745766498216,9.49195924212077e-20,8.36409114393936e-18,34.6692204076647
"611.3441_8.127",-3.95552191041943,22.6628922578206,-13.4362094353111,1.49902624927301e-19,1.24752295633943e-17,34.2180652434419
"307.16554_7.16",-3.74994073616094,20.7957138645229,-13.4039684057602,1.66803068627564e-19,1.31511050949521e-17,34.1125760074886
"472.24536_7.926",-3.41868816156945,21.0091683332802,-13.34119626896,2.05446687661622e-19,1.53879569058555e-17,33.9067959999838
"470.22874_8.124",-3.1660964182619,21.3895443255021,-13.3053030566403,2.31495766909087e-19,1.65133647061816e-17,33.7888953506234
"531.01415_0.904",-3.48049256012557,20.6162004256449,-13.2544840403115,2.74200663267886e-19,1.86705724352406e-17,33.6216741792819
"189.0523_6.622",3.97616897826186,21.4256152091205,13.204849951225,3.23607498462318e-19,2.10766970737631e-17,33.4580207247223
"446.88789_0.916",-3.90823799475351,20.6642900724123,-13.0168667194186,6.07808459281972e-19,3.79373780001831e-17,32.8352348297447
"325.17792_6.895",-3.18013345812153,19.9833412563415,-12.9527810603314,7.54295125904524e-19,4.51973639441991e-17,32.6218470000911
"698.32189_7.77",-3.7333420872554,21.8466611779783,-12.916030390388,8.53927112773342e-19,4.9199339035941e-17,32.4992312643756
"305.08456_1.135",-3.47482436329247,22.4722400773898,-12.9013578245736,8.97331756749538e-19,4.97852952448447e-17,32.4502273270191
"208.09677_6.813",3.552917357496,20.7122946342093,12.5847155898123,2.63363560120608e-18,1.40899504664525e-16,31.3857425666357
"362.92629_0.907",-4.1860897174169,20.6704842166124,-12.5358957483638,3.11277359806284e-18,1.60790856893039e-16,31.2204402839954
"698.32208_7.774",-3.65843033536098,21.8676888811818,-12.4647635225885,3.97332136811832e-18,1.98401180314708e-16,30.9790261040928
"345.24266_8.538",-3.17694537806127,22.6381636767196,-12.3622827875928,5.65420807789225e-18,2.73225925828471e-16,30.6300469775721
"410.17707_0.977",5.03462499966543,20.1823253176279,12.2687006554898,7.8125804807822e-18,3.65726423756617e-16,30.3101646028767
"609.32851_8.082",-4.501267630138,23.7492412166971,-12.030121498142,1.79052391870513e-17,8.12789342490997e-16,29.4894682871927
"378.90026_0.918",-4.00156177099668,20.5706455551312,-11.9997253734875,1.99110778780476e-17,8.72843681187196e-16,29.3843749497795
"613.29801_7.312",-4.81780636281149,21.5913185923053,-11.9928762738711,2.03935439529719e-17,8.72843681187196e-16,29.3606779105832
"595.34663_7.365",-5.97457280461107,22.1861854470302,-11.8474980831906,3.39472648168288e-17,1.41258340821137e-15,28.8562542947511
"430.914_0.909",-4.22495787190765,20.6628916482738,-11.8208305564683,3.72843699871413e-17,1.50951314164156e-15,28.7634287984743
"221.03315_3.733",3.12761209928513,21.3831888809847,11.742545126004,4.91241184815734e-17,1.93652446014203e-15,28.4904010246264
"158.96416_0.907",-4.49658208837778,21.8312519260283,-11.7108898035766,5.49311364500037e-17,2.10991903595142e-15,28.3797768323192
"196.09462_6.26",3.76275766581786,20.9365109460372,11.4719723659867,1.28173963183509e-16,4.68555654714216e-15,27.5407245865549
"182.0813_6.966",-3.66510434123191,22.7281311750567,-11.4718214494827,1.28242869447816e-16,4.68555654714216e-15,27.5401922974775
"323.16073_6.972",-4.69649002924807,22.6715087709887,-11.4537195168308,1.367852568858e-16,4.87867416226019e-15,27.4763251713495
"226.95153_0.908",-4.56248463675946,23.4550333401127,-11.421796787903,1.53274780350855e-16,5.33966560385072e-15,27.3635950815669
"428.72435_5.717",-3.43363533283255,20.7670512109675,-11.3619696316107,1.89783288631218e-16,6.46125832658102e-15,27.151980306828
"253.08162_2.597",-2.49031751756788,22.1758785662147,-11.1096360912778,4.69565532001559e-16,1.56313148208519e-14,26.254549825034
"160.09695_1.13",-3.6841843287934,22.1698136853017,-11.0489297118281,5.84586609343898e-16,1.90371900173295e-14,26.0374760969106
"208.61069_0.981",3.60420435044288,20.5658407391042,10.9468765920612,8.45747967151912e-16,2.69559671232673e-14,25.6715452948948
"330.17755_1.1",-2.85789579311396,21.937841088407,-10.9353083088348,8.81974981898783e-16,2.75249692267578e-14,25.6299856083693
"505.24381_7.908",-2.96382195684336,21.1862586886243,-10.8295448173374,1.29511694050974e-15,3.95935750384405e-14,25.2492806049479
"160.09705_4.113",2.70154625635029,20.511010150321,10.7933754138817,1.47741003258484e-15,4.42632045762418e-14,25.1187796718671
"175.59484_0.983",4.53818033359845,22.2116575032585,10.7157975692323,1.96061796181182e-15,5.75883471920414e-14,24.8383536650906
"470.26637_7.253",-3.03222584104138,19.7638561461383,-10.6815772584784,2.22176552431996e-15,6.40039376044481e-14,24.7144304391406
"477.10002_1.565",-2.21285328489231,18.8600674382814,-10.6634817976476,2.37376768294692e-15,6.70925280953677e-14,24.6488454093376
"206.08129_6.959",3.76813461520471,21.3420875127812,10.5281123839485,3.89901770820229e-15,1.07291915005376e-13,24.1570103785841
"322.61836_7.325",-2.29799058411005,19.0272633194385,-10.5239390022571,3.95925905113178e-15,1.07291915005376e-13,24.1418138260583
