"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"189.02933_5.978",5.19921659907949,20.587974956178,18.1945537768676,9.36384820217758e-26,1.73793022632416e-22,48.1500704598376
"371.12874_8.918",-4.22254642772652,21.1983941347467,-17.7744735586166,2.98766379711798e-25,2.77255200372549e-22,47.0261294813324
"175.01353_3.701",4.77935756199445,19.8304574458986,16.5732690410638,9.17786660951377e-24,5.67804014241919e-21,43.698170061367
"206.08177_6.836",4.79469097415624,22.0200307208402,16.0136232370766,4.78842783943596e-23,2.22183051749828e-20,42.0879327318357
"163.47189_1.727",-4.38507549890531,21.0253766293066,-15.7668089423689,1.00392696802283e-22,3.72657690530076e-20,41.3653690516054
"261.02937_5.983",4.75531159082887,20.3247413886613,15.6633770512914,1.37207185424296e-22,4.24427560245821e-20,41.0602782409951
"131.07024_5.953",4.31069073037092,26.8535863622032,15.0348513796222,9.41758354190593e-22,2.49700500768249e-19,39.1769264742841
"131.07024_5.987",4.30201291854633,26.845463913176,14.4728431790771,5.49365534983593e-21,1.27452804116194e-18,37.4495166136873
"593.33337_7.358",-4.69011331398966,19.15110004171,-14.3858326388869,7.24392524862676e-21,1.46175493354065e-18,37.1783714071127
"696.30815_7.766",-3.50601354219613,20.5134680005046,-14.359579041461,7.87583477123197e-21,1.46175493354065e-18,37.0963627986549
"117.05447_3.687",4.16169145847053,25.4412634380551,14.3056998282962,9.35315605790128e-21,1.57813251304225e-18,36.9277744899519
"319.16608_7.815",-4.50465415536641,21.195443660805,-14.1924921681692,1.34384964185828e-20,2.07848744607415e-18,36.5722955217574
"117.05442_3.687",4.16080022483547,25.4211426588405,14.135449163024,1.61407635321355e-20,2.23046120881032e-18,36.3925333933331
"147.04414_6.585",5.04767658135492,20.72335993894,14.1225486457206,1.68245996354227e-20,2.23046120881032e-18,36.3518195580721
"172.09712_6.275",4.42046524110147,22.4954566653615,14.0036323849357,2.46882175565591e-20,2.93281232395711e-18,35.9754804244198
"216.04864_5.969",4.29799522758169,20.3673168544953,13.9962701881706,2.52828648616992e-20,2.93281232395711e-18,35.9521191759164
"220.09762_7.426",4.33937691862044,19.412117695692,13.9530388814552,2.9079271411034e-20,3.17477221993406e-18,35.8147948389012
"249.03809_4.287",4.53771825026345,20.1198779121882,13.9006055606475,3.44676561861025e-20,3.55399832674479e-18,35.6479063377046
"200.12862_7.646",4.28172153627805,20.4633423867599,13.7454901677691,5.71098221088543e-20,5.57872788600177e-18,35.15204811682
"324.09358_1.179",5.27878158825409,22.0692238487449,13.699734914659,6.63213315945698e-20,6.15461957197608e-18,35.005168753452
"261.16117_6.895",-3.12803213036734,18.6902804041819,-13.6685536335747,7.34474503508094e-20,6.49135561195725e-18,34.90491320879
"321.1455_5.625",-3.28718182005372,19.302173805664,-13.6486623101401,7.83934865774684e-20,6.51901689342548e-18,34.8408898021048
"231.03883_6.887",-4.4985768761337,20.0516932066035,-13.6394946624475,8.07852308991304e-20,6.51901689342548e-18,34.8113644592928
"261.16106_6.887",-3.04233664340903,18.7345637771754,-13.5210245814276,1.19238899808305e-19,9.22114158517556e-18,34.4288085966953
"324.09373_1.332",5.60694615881958,21.9435079342629,13.4963609269441,1.29335334691751e-19,9.6018552475156e-18,34.3489302303606
"233.04286_6.576",5.25509289898752,20.6309027115297,13.3889090142246,1.84459061291305e-19,1.3167539144487e-17,33.9999749371692
"431.96423_1.711",-3.46886563372375,19.4846178125313,-13.2642219081585,2.79009894771484e-19,1.9179346840588e-17,33.5931098653658
"165.05485_6.588",4.11935272839806,24.644661861496,13.1498540297956,4.08533331713494e-19,2.66988073299345e-17,33.218086603743
"165.05486_6.602",4.11935272839806,24.6442948868188,13.1435949405265,4.17168864530227e-19,2.66988073299345e-17,33.1975118905382
"186.11287_7.182",4.55515995365651,20.2503950910678,13.1146590296013,4.59555153084553e-19,2.8431145470831e-17,33.1023263368312
"307.16685_7.498",-2.88627430463741,19.632359644708,-13.0902666676709,4.98655654894153e-19,2.91550305994405e-17,33.0219998297364
"172.09717_5.304",3.25730064258527,20.044682669167,13.0878709992511,5.02672941369663e-19,2.91550305994405e-17,33.0141063554816
"240.08516_6.279",4.33861756401176,18.9892298040984,13.0416156173996,5.86991428351926e-19,3.30138209400356e-17,32.8615491086433
"274.06996_6.832",4.56877206472927,18.4535179534402,13.0052998238829,6.63116708680694e-19,3.61983709209226e-17,32.7415734072592
"389.05192_5.062",-3.79966643562967,18.9941472857305,-12.9927679281584,6.91642912406535e-19,3.66768355836151e-17,32.7001310850187
"423.27571_7.948",-2.8544964791259,24.7335087783304,-12.8924518954498,9.69666284720488e-19,4.99916840122562e-17,32.3676338200521
"181.04986_4.302",3.3220151145365,24.0439882406386,12.7495404002761,1.57267911338128e-18,7.88889847144771e-17,31.891630001963
