"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"321.18133_7.82",-4.16327647064332,21.6874198641479,-17.5117049522596,5.77103946537663e-25,8.6450171191342e-22,46.4289226754856
"437.12679_1.118",-3.51235494187071,22.0935958989129,-15.8637007100787,7.01670773154311e-23,5.25551409092579e-20,41.7418709074093
"327.23224_8.287",-3.96447729785876,22.2931893007623,-15.1109041747734,6.99393770546505e-22,3.49230622759555e-19,39.4886830464642
"235.04886_6.023",4.63958147579501,22.259166629036,15.0054076787174,9.70650569981528e-22,3.63508638458082e-19,39.167120172264
"208.09677_6.813",4.30653572156248,20.7122946342093,14.7697107951107,2.02878801093235e-21,6.07824888075333e-19,38.4434805955996
"189.0523_6.622",4.43381455405924,21.4256152091205,14.2571198613823,1.03262528736987e-20,2.35890852383352e-18,36.8446520458599
"607.31335_7.231",-3.43228574272861,20.87967446551,-14.2367684357042,1.10229370272594e-20,2.35890852383352e-18,36.7804604099761
"224.07966_0.958",-2.99107971721463,19.3392826194024,-14.1634293848411,1.39529296422106e-20,2.61268607550393e-18,36.5486835370963
"305.08456_1.135",-3.81697330854417,22.4722400773898,-13.7216811711493,5.85514958840504e-20,9.74557120381194e-18,35.1375303357075
"595.34828_7.383",-6.04197718523838,21.6609635335405,-13.4053416508216,1.66045365303151e-19,2.4873595722412e-17,34.1110435573442
"196.09462_6.26",4.47667714839444,20.9365109460372,13.2151852669418,3.12625985549201e-19,4.2573975122973e-17,33.4875847104312
"221.03315_3.733",3.59496725070684,21.3831888809847,13.068626014115,5.10735737042814e-19,6.37568445075112e-17,33.0037737044057
"528.78295_7.234",-4.1204296331781,20.7367134265466,-13.0296958192483,5.82132497393121e-19,6.70795754688381e-17,32.8747784216891
"280.0486_1.408",-2.70101095707657,22.5445432796366,-12.9622710138802,7.30534098139248e-19,7.81671485008995e-17,32.6508880305925
"698.32189_7.77",-3.84291343828249,21.8466611779783,-12.8729330986042,9.8787266420848e-19,9.86555500656202e-17,32.3532996825389
"307.16574_7.271",-3.84277648192051,21.9008292239635,-12.7601174985996,1.44823735012581e-18,1.35591221905529e-16,31.9759873946279
"463.02664_0.901",-3.15415335461979,20.7722435337021,-12.6324416653269,2.2372701232872e-18,1.97142979099072e-16,31.5469328581806
"395.03908_0.902",-3.04180203393208,20.8754875614701,-12.6067724131447,2.44231771824492e-18,2.0325510788505e-16,31.460409904285
"259.06407_0.9",-3.59410063680282,21.0270481908498,-12.5099662066021,3.40217732685785e-18,2.68234822928055e-16,31.133320345609
"698.32208_7.774",-3.77194416657368,21.8676888811818,-12.443431112689,4.27562433314675e-18,3.08189741207906e-16,30.9077911671728
"323.16123_5.624",-3.70652564410618,21.1323893567163,-12.4404005986078,4.32041693282111e-18,3.08189741207906e-16,30.8975049058646
"170.09203_0.933",4.58513263283072,21.2203040086185,12.3700781915699,5.50422856018108e-18,3.74787926506876e-16,30.6584736015806
"472.24536_7.926",-3.26410603167422,21.0091683332802,-12.3334671510201,6.24537867058032e-18,4.06764228196927e-16,30.53377136259
"345.24265_8.275",-4.51348155069333,22.9634890405876,-12.0939621305633,1.43314968111991e-17,8.9452425929901e-16,29.7136326402752
"182.08135_7.413",-3.40189538615412,21.5435115244406,-12.0046001727734,1.95747256794899e-17,1.17291756271504e-15,29.4057038062256
"171.05313_0.921",3.93160662228919,20.5963817590776,11.6405629661876,7.0439430170203e-17,4.05839486134477e-15,28.1405669438125
"307.16554_7.16",-3.36017269768168,20.7957138645229,-11.6293710701447,7.32870700065355e-17,4.06607521739964e-15,28.1014012302789
"206.08129_6.959",4.26425724866414,21.3420875127812,11.535943953727,1.02086617381151e-16,5.46163402989157e-15,27.7738315402059
"116.07099_0.876",3.16559910916499,26.6517412675012,11.4426865235987,1.42271329309074e-16,7.34905004499974e-15,27.4457496120337
"531.01415_0.904",-3.07401352913678,20.6162004256449,-11.3347913360299,2.09157004135641e-16,1.04439064065063e-14,27.0648006770847
"446.88789_0.916",-3.5075427703089,20.6642900724123,-11.3113403251617,2.27472579789813e-16,1.09920620814561e-14,26.9818079396748
"325.17792_6.895",-2.8571550257294,19.9833412563415,-11.2677479131024,2.65934569294902e-16,1.24490620251176e-14,26.8273523326064
"158.96416_0.907",-4.44389383158435,21.8312519260283,-11.2061564435261,3.31745482792106e-16,1.5059234340078e-14,26.6087191207552
"470.22874_8.124",-2.73848034016569,21.3895443255021,-11.1428401444719,4.16613019508281e-16,1.83554795065707e-14,26.3834726510794
"70.06594_0.877",3.02194379477764,24.2146061254831,11.0479966387138,5.86560594192361e-16,2.51047934314331e-14,26.0451443550313
"160.09695_1.13",-3.75868537858057,22.1698136853017,-10.9144152429228,9.51418820851237e-16,3.95895942676431e-14,25.5667662130432
"115.08698_0.877",3.37967160926367,24.5956734318022,10.8523568021994,1.1919891874897e-15,4.82594541313397e-14,25.3437902241715
"345.24266_8.538",-2.86407704262385,22.6381636767196,-10.7909395647759,1.49057923197152e-15,5.80283192783128e-14,25.1226639375867
"378.90026_0.918",-3.71520974550578,20.5706455551312,-10.7872503262156,1.51075063541669e-15,5.80283192783128e-14,25.1093669094376
"362.92629_0.907",-3.71533022410187,20.6704842166124,-10.7728322812716,1.59226008187766e-15,5.96301400663184e-14,25.0573848098528
"253.08162_2.597",-2.48416904197169,22.1758785662147,-10.7303007176139,1.85949608786535e-15,6.79396375517634e-14,24.9039000961919
"428.72435_5.717",-3.3142098212411,20.7670512109675,-10.6185469841229,2.79818498082581e-15,9.98019309827872e-14,24.4995970300714
"613.29801_7.312",-4.38603449431492,21.5913185923053,-10.5713802235091,3.32637452224416e-15,1.15881605449343e-13,24.3285197247306
"424.19273_0.98",4.01012896903633,20.2935774079635,10.5605476213595,3.46125363232047e-15,1.17839953209456e-13,24.2891927146447
