"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"254.013_6.42",-5.9054056324612,21.3269106950074,-19.9297828835754,8.33101351782657e-28,1.2488189263222e-24,52.7913010408364
"189.02933_5.978",5.55907129645853,20.6250351856648,19.5077237367481,2.48797731252608e-27,1.8647389957383e-24,51.7333137546811
"175.01353_3.701",4.99186665205565,19.8675176753854,17.4737698752309,6.25461820789446e-25,3.12522423121127e-22,46.3639749108981
"163.47189_1.727",-4.59628997925215,21.0624368587936,-16.7007923710241,5.74612979784589e-24,2.15336214174275e-21,44.1991313368329
"261.02937_5.983",4.97564964607761,20.3618016181482,16.4746653586225,1.11360950725941e-23,3.33860130276372e-21,43.5522412333064
"131.07024_5.953",4.40151502236357,26.8906465916903,15.3533860647644,3.23802283769274e-22,8.08966038950237e-20,40.2508872535662
"206.08177_6.836",4.60299012705854,22.0570909503272,15.2060993920471,5.09810741454386e-22,1.09172328777161e-19,39.8054234939071
"216.04864_5.969",4.59475180437042,20.4043770839822,15.0222328004632,9.01818115036018e-22,1.68978169304874e-19,39.2454095211704
"147.04414_6.585",5.38167406192511,20.7604201684269,14.9467879724399,1.1409957007857e-21,1.85362974796643e-19,39.0143590365411
"131.07024_5.987",4.44384298015816,26.882524142663,14.9210398127045,1.23657755034452e-21,1.85362974796643e-19,38.9353363028325
"321.1455_5.625",-3.62842346174848,19.3392340351511,-14.8800174954739,1.40591061773681e-21,1.87209975411098e-19,38.8092585585767
"117.05442_3.687",4.36398844840279,25.4582028883276,14.8596174977899,1.4986789225705e-21,1.87209975411098e-19,38.7464799903548
"261.16117_6.895",-3.38513490395938,18.727340633669,-14.7764933070071,1.94543935934097e-21,2.15884347767456e-19,38.4901158039472
"117.05447_3.687",4.27973970087866,25.4783236675422,14.7651218038806,2.0162647556667e-21,2.15884347767456e-19,38.4549749085804
"593.33337_7.358",-4.80209780304455,19.1881602711971,-14.6588382378997,2.81861386259724e-21,2.75870695383985e-19,38.1257159141136
"261.16106_6.887",-3.29943941700106,18.7716240066625,-14.6449995748688,2.9445838066336e-21,2.75870695383985e-19,38.082736216964
"231.03883_6.887",-4.76956847044918,20.0887534360906,-14.5956029076112,3.44260330814733e-21,3.03556609347814e-19,37.9291173891227
"199.05841_5.97",7.49080285375477,21.9462436247754,14.577248057142,3.64869345639702e-21,3.03855082841063e-19,37.8719542519346
"233.04286_6.576",5.56509073839788,20.6679629410166,14.1665865597838,1.35482974373027e-20,1.06888936097457e-18,36.5814502304988
"473.07063_1.551",-3.91005560637601,20.6992008512401,-13.9013098696291,3.19779002584501e-20,2.39674362437084e-18,35.7359889669821
"588.89797_0.906",-5.75698318265548,20.0307362547914,-13.6503882344616,7.26462373797363e-20,5.11806267332753e-18,34.9276892245576
"431.96423_1.711",-3.52403644692571,19.5216780420184,-13.6402208369656,7.51149958727189e-20,5.11806267332753e-18,34.8947603197042
"249.03809_4.287",4.40075829290893,20.156938141675,13.3839020604207,1.75190040107633e-19,1.12355982087497e-17,34.0600802876581
