"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"321.18133_7.82",-4.42320310048555,21.6310131669308,-18.6665049652231,2.47907027383483e-26,3.95659615704038e-23,49.4769184090166
"235.04886_6.023",5.13128427151414,22.2027599318189,16.4955451004646,1.10655937675497e-23,8.83034382650466e-21,43.541931449145
"528.78295_7.234",-4.99953424704073,20.6803067293296,-15.8542840082089,7.42918058919586e-23,3.9523240734522e-20,41.680914725858
"437.12679_1.118",-3.31773729433938,22.0371892016958,-15.0324465733157,9.16288823083709e-22,3.655992404104e-19,39.2200564678353
"189.0523_6.622",4.65820016916417,21.3692085119035,14.9349104584673,1.24137792119493e-21,3.96247832445422e-19,38.9222414883472
"607.31335_7.231",-3.50097709675327,20.8232677682929,-14.7310861025071,2.3503530272291e-21,5.69356472499013e-19,38.2958959500463
"208.09677_6.813",4.29815411602183,20.6558879369922,14.7118231321593,2.49717751096058e-21,5.69356472499013e-19,38.2364213390693
"327.23224_8.287",-3.82636459337635,22.2367826035453,-14.5910391045446,3.65525966663207e-21,7.29224303493098e-19,37.8623933305863
"305.08456_1.135",-3.77528294208241,22.4158333801727,-13.6830738210036,6.79749893051875e-20,1.20542314367866e-17,34.9891585370132
"595.34828_7.383",-6.0810817868748,21.6045568363235,-13.5364511720281,1.10055620002196e-19,1.75648769523504e-17,34.5149106280578
"307.16574_7.271",-4.01549419913662,21.8444225267464,-13.2775656236754,2.59429437892646e-19,3.76408529887875e-17,33.6705470451751
"224.07966_0.958",-2.81149888528204,19.2828759221855,-13.2003419703682,3.35605146025673e-19,4.18696209321316e-17,33.4169467805627
"698.32189_7.77",-3.9339563577698,21.7902544807613,-13.1955280712818,3.41043278269242e-19,4.18696209321316e-17,33.4011117038927
"221.03315_3.733",3.62248801171024,21.3267821837676,13.1207683860936,4.37913434992235e-19,4.99221315891148e-17,33.1547963091607
"463.02664_0.901",-3.26926534829649,20.7158368364851,-13.0646006447774,5.28651874249842e-19,5.62485594201831e-17,32.9692459853269
"280.0486_1.408",-2.7137371617941,22.4881365824195,-13.0399589745811,5.74254172144405e-19,5.72818536714044e-17,32.8877092244224
"323.16123_5.624",-3.82559038601818,21.0759826594993,-12.8800630908291,9.8423741402493e-19,8.93778769353042e-17,32.3566613879136
"395.03908_0.902",-3.11104383560984,20.819080864253,-12.8729996066258,1.00802116844328e-18,8.93778769353042e-17,32.3331234222396
"196.09462_6.26",4.33301760928614,20.8801042488202,12.7761850989461,1.39920675577508e-18,1.17533367485107e-16,32.0098339247929
"472.24536_7.926",-3.34076284159658,20.9527616360631,-12.6070540932266,2.48842240887793e-18,1.98576108228458e-16,31.4420663855053
"171.05313_0.921",4.28127276555261,20.5399750618606,12.5690085169608,2.83393560993322e-18,2.15379106354925e-16,31.3138247004039
"698.32208_7.774",-3.7935191540302,21.8112821839648,-12.5368626274711,3.16346141317543e-18,2.29494746155817e-16,31.2053195621192
"182.08135_7.413",-3.53536219872498,21.4871048272236,-12.5207905554671,3.34248205302689e-18,2.31939189418735e-16,31.151018533947
"307.16554_7.16",-3.58054402021808,20.7393071673058,-12.3224912517858,6.61016322243042e-18,4.39575854291623e-16,30.478230776455
"170.09203_0.933",4.60031791184041,21.1638973114015,12.303763031217,7.0517021633412e-18,4.50180666107703e-16,30.4144212597251
"446.88789_0.916",-3.74891322297418,20.6078833751953,-12.0950722927179,1.45386937719748e-17,8.92452125387377e-16,29.700260616411
"259.06407_0.9",-3.46465439150582,20.9706414936328,-12.0252802223414,1.85416995751471e-17,1.09602046377536e-15,29.4601501297786
"116.07099_0.876",3.31448508979598,26.5953345702841,11.9490877033956,2.41972525881256e-17,1.37924339752316e-15,29.1972932719934
"325.17792_6.895",-2.99432073723446,19.9269345591245,-11.906854498565,2.80536300754454e-17,1.54391702070382e-15,29.0512669723276
"345.24265_8.275",-4.4228815648237,22.9070823433705,-11.8303488813878,3.66925571991787e-17,1.95204404299631e-15,28.7861497072636
"115.08698_0.877",3.68691258276799,24.5392667345851,11.8029666432533,4.0400265293962e-17,2.07996204545688e-15,28.6910768502086
"158.96416_0.907",-4.6376774124695,21.7748452288113,-11.6871617364923,6.07634976586597e-17,3.03057944572565e-15,28.287924315153
"531.01415_0.904",-3.16912767120814,20.5597937284279,-11.6533347087175,6.84791148125277e-17,3.29532621606192e-15,28.1698362486641
"428.72435_5.717",-3.64538644539937,20.7106445137504,-11.6463116321741,7.02011850539507e-17,3.29532621606192e-15,28.1453007112042
"70.06594_0.877",3.18087792934006,24.158199428266,11.6218119811966,7.65583983337863e-17,3.49106296402065e-15,28.059660219903
"378.90026_0.918",-3.95232778044138,20.5142388579142,-11.4571356453713,1.37369410806787e-16,6.09004387910089e-15,27.4820323226185
"362.92629_0.907",-3.93338724892477,20.6140775193954,-11.4064766188671,1.6454659938017e-16,7.09773980029057e-15,27.3036451771899
"470.22874_8.124",-2.76268787543946,21.333137628285,-11.2584006786422,2.79404186290626e-16,1.17349758242063e-14,26.7803682036478
"206.08129_6.959",4.11074735262625,21.2856808155641,11.1347246196086,4.35688929157616e-16,1.78297315624501e-14,26.3412183558971
"226.95153_0.908",-4.45322320212406,23.3986266428956,-10.7969304925521,1.47986133733773e-15,5.90464673597753e-14,25.1322211470847
"430.914_0.909",-3.95736338012399,20.6064849510567,-10.7203280340848,1.95641535657365e-15,7.61570465632083e-14,24.8561435150446
"424.19273_0.98",4.04536846778317,20.2371707107466,10.6665108354233,2.38130784066129e-15,9.0489697945129e-14,24.6617698809157
"345.24266_8.538",-2.84120952201339,22.5817569795025,-10.6516207625881,2.51453090500893e-15,9.33300307998664e-14,24.6079307467835
"251.02271_6.622",3.53971306158344,20.4022213482834,10.6068372510076,2.96229238223612e-15,1.07450423682928e-13,24.4458475176204
"160.09695_1.13",-3.64086243874113,22.1134069880846,-10.5659764622567,3.44074000587259e-15,1.22031578874948e-13,24.2977580470742
"613.29801_7.312",-4.33246995252372,21.5349118950882,-10.4997002158275,4.38830009072153e-15,1.52254933582425e-13,24.057146545314
"180.08672_0.886",3.30209634185674,20.7907524373831,10.4171980958193,5.94437049729449e-15,2.01855644971958e-13,23.756925474924
"201.07189_0.872",3.67041830388413,20.1169956350685,10.3659956549306,7.17919670076187e-15,2.38708290300332e-13,23.5702144490146
"595.34663_7.365",-5.37096076105497,22.1297787498132,-10.332069434095,8.13688113341341e-15,2.6502984263118e-13,23.4463394082384
"611.3441_8.127",-3.12069649781212,22.6064855606035,-10.2855724632292,9.66228817189888e-15,3.08420238447012e-13,23.2763562126905
"444.20789_0.931",-1.9288193138964,21.0943780341333,-10.0175623511498,2.61328119751924e-14,8.17803292400138e-13,22.2919638947122
"444.20791_0.934",-1.93054145240985,21.0934686340172,-9.98515052311837,2.94895028471663e-14,9.05100895078412e-13,22.1723962058534
"282.15485_0.939",-1.80206879338973,21.2446836258232,-9.92212504671636,3.73124745100938e-14,1.12359828902094e-12,21.9395810439367
"242.58021_0.975",3.84026508414227,19.4922824662652,9.89694538326812,4.09948090598811e-14,1.21162435665871e-12,21.8464530974079
"477.10002_1.565",-2.11373842511703,18.8036607410645,-9.82873601175289,5.29170822748052e-14,1.53555751473798e-12,21.5938532472178
"323.16073_6.972",-4.14493872759645,22.6151020737716,-9.79387666445152,6.03024272625893e-14,1.71861917698379e-12,21.4645772047948
"90.97727_0.908",-3.76002552812937,24.2782987833215,-9.73954680861252,7.39383791489708e-14,2.07027461617118e-12,21.2628532457183
"319.2425_8.492",-2.45832088552204,23.0166832198822,-9.64912800841707,1.03871111607486e-13,2.85824645044047e-12,20.9264908276729
"548.18293_1.112",-2.17443802120606,21.4440800853615,-9.63452581143252,1.09740726824042e-13,2.96857966120628e-12,20.8720957750794
"655.2769_8.41",-2.24320049115174,21.4727652728159,-9.62699829288347,1.12895859308591e-13,3.00302985760851e-12,20.8440468341284
"410.17707_0.977",4.06617016289133,20.1259186204109,9.62090539867082,1.15516441567179e-13,3.02236460231503e-12,20.8213396112934
"350.67936_4.567",-3.49780175282413,19.6787208436626,-9.61400774674789,1.18557150022212e-13,3.05189050702339e-12,20.7956289201472
"192.12314_0.968",2.80903615123215,21.4500037907899,9.58225364275506,1.33628811774248e-13,3.38526323161429e-12,20.6772087062494
"327.05156_0.9",-4.1117001308225,23.1685825128022,-9.42622408981107,2.40919931919935e-13,6.00794080225339e-12,20.0939670952141
"224.05176_0.895",2.607547138564,19.9248050251372,9.40296502925539,2.63095510919453e-13,6.4600066988838e-12,20.0068346399743
"208.61069_0.981",3.18569420170667,20.5094340418872,9.37933338583977,2.87732163543365e-13,6.95788686386684e-12,19.9182571654266
"355.26323_8.501",-1.56211029039441,30.3164222104174,-9.36751533243205,3.00910763395695e-13,7.16796385641089e-12,19.87394156595
"329.18205_1.183",-1.93690628476971,23.603274318866,-9.3351295007191,3.40223009860347e-13,7.98523417260461e-12,19.7524377527547
"164.07055_7.272",-1.78217877746418,20.122125208254,-9.28925525746437,4.0491898374231e-13,9.36018306683639e-12,19.5801731440382
"385.14319_8.947",-2.62235945271926,22.6080394204103,-9.28562803706178,4.10534345036684e-13,9.36018306683639e-12,19.5665446914689
"256.08474_2.482",-2.78219578705779,21.0954884486451,-9.27615154007934,4.25577603782654e-13,9.56650500897346e-12,19.530933631615
"160.09705_4.113",2.38722067474935,20.4546034531039,9.1942534446008,5.81018593602963e-13,1.28792454915323e-11,19.2228599072935
"380.09544_0.917",5.88284689104675,20.6338371714916,9.12682688927713,7.5109242275339e-13,1.64211439275947e-11,18.9688089811394
"673.29021_7.46",-2.86274975341088,20.3136440868707,-9.11783390301065,7.7727986208452e-13,1.67640359444175e-11,18.9348973914392
"342.13958_0.883",6.92664004434627,22.5936776746834,9.07347047286363,9.20542547770609e-13,1.95891454165586e-11,18.767514034703
"539.77358_7.232",-3.12294294235694,19.7761483996782,-9.03022979705404,1.08571805370965e-12,2.28000791279026e-11,18.6042192203648
"116.07098_0.876",3.03453140443257,26.5277595427826,9.01604999775939,1.14613204768322e-12,2.37561915337976e-11,18.550639161156
"175.59484_0.983",3.93504746039805,22.1552508060415,9.00958974289113,1.17476620094952e-12,2.40375238040441e-11,18.5262232575313
