"mz_rt_min","comp1_value","comp2_value"
"321.1455_5.625",-0.396145667939248,NA
"189.02933_5.978",0.384055117243288,NA
"261.16117_6.895",-0.354489104927462,NA
"261.16106_6.887",-0.352208323479905,NA
"593.33337_7.358",-0.346806933402695,NA
"231.03883_6.887",-0.252436023703773,NA
"353.10842_1.183",-0.249423057279303,NA
"163.47189_1.727",-0.192107970506181,NA
"131.07024_5.953",0.190872346241426,NA
"261.02937_5.983",0.183935699307029,NA
"131.07024_5.987",0.146951932006071,NA
"175.01353_3.701",0.120025308058576,NA
"323.16203_6.887",-0.116952037977427,NA
"216.04864_5.969",0.0842753935551881,NA
"307.10383_1.224",-0.0841211245979503,NA
"473.07063_1.551",-0.0786085156483038,NA
"164.03775_1.129",0.0780476066739661,NA
"199.05841_5.97",0.0669365988637802,NA
"389.13245_6.972",-0.0639605736158942,NA
"588.89797_0.906",-0.0552474519866208,NA
"117.05447_3.687",0.043440758736993,NA
"117.05442_3.687",0.0405225866382477,NA
"147.04414_6.585",0.0341189178787093,NA
"621.01035_0.897",-0.00534502934362063,NA
"672.85986_0.919",-0.00154082266216934,NA
"254.013_6.42",NA,-0.93737703622996
"281.06024_6.614",NA,-0.240736651957573
"231.07701_6.12",NA,-0.170968109140918
"485.15089_1.188",NA,-0.130273216348968
"390.12075_0.856",NA,0.117295784234802
"315.03159_0.856",NA,0.0429389370156274
"262.10877_6.747",NA,-0.0247468447448773
"180.06578_1.218",NA,0.0221967297932167
"501.14656_1.178",NA,-0.0213887668213401
"383.12196_1.223",NA,0.00207781522328758
