"mz_rt_min","comp1_value","comp2_value"
"321.1455_5.625",-0.497387565368936,NA
"261.16117_6.895",-0.40903223857743,NA
"189.02933_5.978",0.406824305353691,NA
"261.16106_6.887",-0.405974878854327,NA
"593.33337_7.358",-0.394264244616216,NA
"231.03883_6.887",-0.219609320455091,NA
"353.10842_1.183",-0.189816006197343,NA
"163.47189_1.727",-0.091797621248484,NA
"131.07024_5.953",0.0654291207822182,NA
"261.02937_5.983",0.0506575009049357,NA
"254.013_6.42",NA,-0.940051927418734
"281.06024_6.614",NA,-0.227820980289351
"231.07701_6.12",NA,-0.160068706374062
"485.15089_1.188",NA,-0.139459924915178
"390.12075_0.856",NA,0.120605906133318
"315.03159_0.856",NA,0.0529195918829535
"262.10877_6.747",NA,-0.0309072260867399
"501.14656_1.178",NA,-0.0213973327011281
"180.06578_1.218",NA,0.0169878431369307
"249.00748_1.893",NA,-0.0167617479359182
