"mz_rt_min"	"calculated_mw"	"exact_mass"	"kegg_id"	"name"	"formula"	"pathways"	"annotation"
"104.03478_0.988"	103.02704	103.0269	"C11822"	"2-Aminomalonate semialdehyde; 2-Ammoniomalonate semialdehyde; [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-L-Lys-D-Ala-D-Ala)]n+1-diphosphoundecaprenol; [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)]n+1-diphosphoundecaprenol; 2,3-Ene acid"	"C3H5NO3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Porphyrin metabolism"	"putative_single"
"114.05493_1.017"	115.06303	115.0633	"C18170"	"Resolvin E1; 5S,12R,18R-Trihydroxy-6Z,8E,10E,14Z,16E-eicosapentaenoic acid; 3-Acetamidopropanal"	"C5H9NO2"	"Metabolic pathways;Efferocytosis;Arginine and proline metabolism"	"putative_single"
"115.03951_1.818"	114.03223	114.0317	"C07091"	"1,4-Dichlorobenzene; p-Dichlorobenzene; cis-Acetylacrylate"	"C5H6O3"	"Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds"	"putative_single"
"115.03955_1.121"	114.03222	114.0317	"C07091"	"1,4-Dichlorobenzene; p-Dichlorobenzene; cis-Acetylacrylate"	"C5H6O3"	"Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds"	"putative_single"
"116.07098_0.876"	115.06364	115.0633	"C18170"	"Resolvin E1; 5S,12R,18R-Trihydroxy-6Z,8E,10E,14Z,16E-eicosapentaenoic acid; 3-Acetamidopropanal"	"C5H9NO2"	"Metabolic pathways;Efferocytosis;Arginine and proline metabolism"	"putative_single"
"118.08659_1.001"	117.07937	117.079	"C16436"	"Chlornaphazine; N,N-Bis(2-chloroethyl)-2-naphthylamine; Valine"	"C5H11NO2"	"Zeatin biosynthesis;Biosynthesis of secondary metabolites"	"putative_single"
"118.0866_1.002"	100.05281	100.0524	"C02240"	"5-Valerolactone; delta-Valerolactone; gamma-Valerolactone; 7-Methyladenine"	"C5H8O2"	"Metabolic pathways;Biosynthesis of various antibiotics;Biosynthesis of secondary metabolites;Ferroptosis;Microbial metabolism in diverse environments;Fatty acid metabolism;Aminobenzoate degradation;Phenazine biosynthesis;Biosynthesis of unsaturated fatty acids;Ovarian steroidogenesis"	"putative_multi"
"118.0866_1.002"	100.05281	100.0524	"C08279"	"Tiglic acid; (E)-2,3-Dimethylacrylic acid; L-gamma-Glutamyl-L-hypoglycin; L-Hypoglycin; Chaulmoogric acid"	"C5H8O2"	"Biosynthesis of unsaturated fatty acids;Cutin, suberine and wax biosynthesis"	"putative_multi"
"118.0866_1.171"	117.07933	117.079	"C16436"	"Chlornaphazine; N,N-Bis(2-chloroethyl)-2-naphthylamine; Valine"	"C5H11NO2"	"Zeatin biosynthesis;Biosynthesis of secondary metabolites"	"putative_single"
"120.06581_1.056"	87.03237	87.032	"C20904"	"Galactosylglucosyldiacylglycerol; Gal-alpha1->2Glc-alpha1->3acyl2Gro; 1,2-Diacyl-3-O-[alpha-D-galactopyranosyl-(1->2)-O-alpha-D-glucopyranosyl]-sn-glycerol; 2-Iminopropanoate"	"C3H5NO2"	"Biosynthesis of secondary metabolites;Monobactam biosynthesis;Teichoic acid biosynthesis"	"putative_single"
